,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
88,阿波測建（株）,6480001000086,徳島県,中小企業,524,,,,1328,,254,,,,20200106
89,安西工業（株）,7140001004401,兵庫県,中小企業,946,,,,,,,,,,20200106
90,（株）安藤・間,2010401051696,東京都,大企業,569,,220,,141,,242,,463,,20200106
91,（株）イーエス総合研究所,7430001018801,北海道,大企業,360,,,,349,,73,,213,,20200106
92,（株）Ｅ－ＳＹＳＴＥＭ,2290001023259,福岡県,中小企業,494,-01,606,-01,944,-01,,,,,20200106
93,（株）イーディシー,7290001006201,福岡県,中小企業,944,,,,1484,,,,627,,20200106
94,（株）イケハラエンジニア,3360001009423,沖縄県,中小企業,974,,,,,,,,,,20200106
95,（株）石居設計,1160001008059,滋賀県,中小企業,594,,620,,367,,333,,636,,20200106
96,（株）礎積算,4030001017986,埼玉県,中小企業,1051,,877,,,,,,62,,20200106
97,石橋開発（株）,5290801009611,福岡県,中小企業,704,,,,1335,,496,,382,,20200106
98,（株）イシヤマエンジニアリング,2122001000477,大阪府,中小企業,509,,,,,,,,,,20200106
99,イズテック（株）,5280001003085,島根県,中小企業,191,,770,,338,,251,,134,,20200106
100,（株）泉コンサルタント,9270001000071,鳥取県,中小企業,641,,,,1181,,681,,220,,20200106
101,出雲グリーン（株）,5280001003069,島根県,中小企業,295,,764,,348,,207,,195,,20200106
102,（株）イタガキ建設コンサルタント,4250001002958,山口県,中小企業,529,,,,764,,360,,441,,20200106
103,（株）一成,8140001042490,兵庫県,中小企業,1044,,,,917,,648,,,,20200106
104,イッセイコンサルタント（株）,8180001092400,愛知県,中小企業,893,,,,915,,,,,,20200106
105,いであ（株）,7010901005494,東京都,大企業,139,,736,,15,,82,,314,,20200106
106,（株）怡土,4290001023430,福岡県,中小企業,633,,,,1476,,,,,,20200106
107,（株）井上エンジニアリング,2160001002473,滋賀県,中小企業,671,,,,644,,,,657,,20200106
108,井上測量設計（株）,7070001000325,群馬県,中小企業,522,,,,,,,,,,20200106
109,（株）イビソク,9200001013229,岐阜県,大企業,37,,,,327,,537,,131,,20200106
110,（有）イマージテック,6340002001444,鹿児島県,中小企業,664,,,,1458,,,,,,20200106
111,（有）岩田測量設計,5230002005787,富山県,中小企業,1114,,,,,,,,,,20200106
112,（有）石見開発調査設計,8280002009814,島根県,中小企業,884,,,,1394,,,,546,,20200106
113,（株）インテコ,5150001000145,奈良県,中小企業,611,,,,543,,183,,,,20200106
114,（株）ウインディーネットワーク,2080101014435,静岡県,中小企業,265,,761,,495,,531,,272,,20200106
115,（株）ウエスコ,4260001000622,岡山県,大企業,29,,427,,32,,38,,39,,20200106
116,（株）ウエスト建設コンサルタント,1140001106401,兵庫県,中小企業,644,,,,743,,678,,583,,20200106
117,（株）ウエストコンサルタント,6500001000629,愛媛県,中小企業,332,,553,,703,,635,,64,,20200106
118,（株）ウオールナット,7012801000170,東京都,中小企業,1065,,,,945,,331,,,,20200106
119,（株）潮技術コンサルタント,1150001012409,奈良県,中小企業,665,,962,,1080,,715,,,,20200106
120,（株）ウジョウ,3260001000656,岡山県,中小企業,448,,,,,,,,,,20200106
121,（株）内田測量,8100001000337,長野県,中小企業,759,-01,649,-01,,,265,-01,123,-01,20200106
122,（株）内山測量設計,3140001076080,兵庫県,中小企業,562,,815,,1029,,465,,432,,20200106
123,（株）ウッド,6030001062320,埼玉県,中小企業,1112,,,,1525,,,,663,,20200106
124,（株）宇部建設コンサルタント,9250001003927,山口県,中小企業,84,,,,209,,92,,339,,20200106
125,宇部興産コンサルタント（株）,4250001003056,山口県,中小企業,354,,,,231,,102,,,,20200106
126,（株）宇部セントラルコンサルタント,4250001003015,山口県,中小企業,377,,,,360,,203,,,,20200106
127,ウムヴェルト（株）,9240001026994,広島県,中小企業,515,,,,598,,397,,376,,20200106
128,（株）エイエム建設コンサルタント,9280001002991,島根県,中小企業,655,,,,757,,699,,620,,20200106
129,（株）エイコー技術コンサルタント,2210001010470,福井県,中小企業,315,,476,,491,,370,,182,,20200106
130,（株）永大開発コンサルタント,3290001045392,福岡県,中小企業,691,,,,1010,,,,,,20200106
131,（株）エイチテック,3240001032057,広島県,中小企業,572,-01,,,975,-01,306,-01,455,-01,20200106
132,（株）エイテック,4011001059252,東京都,大企業,46,,757,,171,,267,,183,,20200106
133,（株）エイト日本技術開発,7260001000735,岡山県,大企業,90,,124,,8,,25,,4,,20200106
134,（株）Ａ・Ｆ・Ｃ,5480001006084,徳島県,中小企業,1117,,,,,,,,,,20200106
135,（株）エース,8100001020987,長野県,中小企業,478,,,,390,,686,,597,,20200106
136,（株）エース・プラン,2270001003147,鳥取県,中小企業,855,,,,550,,596,,556,,20200106
137,（株）エーティック,2430001002181,北海道,中小企業,226,,775,,169,,170,,260,,20200106
138,（株）エービーコンサルタント,5011801021212,東京都,中小企業,1095,,602,,933,,692,,,,20200106
139,（株）エープランニング,8011301013005,東京都,大企業,170,,139,,1466,,683,,33,,20200106
140,（株）エーワンコンサルタント,2290001050006,福岡県,中小企業,634,,,,571,,,,603,,20200106
141,（株）エオネックス,1220001006394,石川県,中小企業,778,,,,498,,67,,,,20200106
142,（株）エコー,2010501016723,東京都,大企業,305,,,,84,,,,,,20200106
143,（株）エコー建設コンサルタント,2480001000296,徳島県,中小企業,188,,725,,254,,234,,163,,20200106
144,（株）エス技建,8290001034639,福岡県,中小企業,1097,,919,,1482,,,,,,20200106
145,（株）エスケイエンジニアリング,3290001040484,福岡県,中小企業,126,,,,222,,,,477,,20200106
146,エスシー企画（株）,7480001000309,徳島県,中小企業,436,,848,,371,,298,,547,,20200106
147,エス・テー・コンサルタント（株）,5010001001149,東京都,中小企業,794,,,,864,,,,,,20200106
148,（株）エス・ビー・シー,4480001007315,徳島県,中小企業,381,,,,354,,69,,,,20200106
149,越前屋試錐工業（株）,3430001030537,北海道,中小企業,1008,,,,1277,,313,,,,20200106
150,（株）エヌイーエス,1120001075672,大阪府,中小企業,873,,,,535,,,,,,20200106
151,（株）エヌ・イー計測,5122001000895,大阪府,中小企業,667,,,,,,,,,,20200106
152,（株）エヌ・イーサポート,5240001006562,広島県,大企業,747,,,,686,,,,,,20200106
153,ＮＥテクノ（株）,5030001067857,埼玉県,中小企業,1092,,,,441,,,,,,20200106
154,エヌエス環境（株）,4010401004900,東京都,大企業,420,,687,,85,,260,,469,,20200106
155,（株）エヌ・エス・シー・エンジニアリング,2011601011713,東京都,中小企業,999,,653,,817,,,,,,20200106
156,（株）ＮＪＳ,6011101045308,東京都,大企業,232,,55,,25,,276,,447,,20200106
157,（株）エヌティーコンサルタント,6400001000333,岩手県,中小企業,330,,,,552,,608,,145,,20200106
158,ＮＴＣインターナショナル（株）,1011101012790,東京都,大企業,572,,,,247,,,,,,20200106
159,ＮＴＣコンサルタンツ（株）,2180001039299,愛知県,大企業,150,,464,,42,,65,,377,,20200106
160,エヌ・ティ・ティ・インフラネット（株）,2010001063299,東京都,大企業,323,,,,114,,,,,,20200106
161,（株）エヌ・ティ・ティ・データ,9010601021385,東京都,大企業,1039,,867,,1420,,,,,,20200106
162,（株）エフウォーターマネジメント,9160001001717,滋賀県,中小企業,555,,674,,238,,421,,449,,20200106
163,（株）エフ・ケー・シー,9240001001485,広島県,中小企業,469,,,,1027,,,,,,20200106
164,（株）エフ設計コンサルタント,8480001002824,徳島県,中小企業,616,,,,545,,,,,,20200106
165,（株）エブリプラン,6280001000115,島根県,中小企業,969,,,,628,,716,,,,20200106
166,（株）エフワーク,9370201000571,宮城県,中小企業,901,,,,292,,,,,,20200106
167,エボシ技工調査設計（株）,9240001029980,広島県,中小企業,527,,,,1012,,498,,284,,20200106
168,（有）エポック開発,7220002010316,石川県,中小企業,863,,,,,,,,,,20200106
169,（株）エムエス技術コンサルタント,8430001028114,北海道,中小企業,934,,,,,,,,237,,20200106
170,（株）エムエスシー,2250001011176,山口県,中小企業,959,,,,1517,,,,,,20200106
171,（株）ＭＸコンサルタント,9490001007045,高知県,中小企業,1096,,,,,,,,613,,20200106
172,（株）エム・ケー・コンサルタント,9290001011967,福岡県,中小企業,889,,,,542,,,,,,20200106
173,（株）エムテック,4011501013147,埼玉県,中小企業,1088,,,,1206,,697,,,,20200106
174,（株）エルクコンサルタント,8140001019514,兵庫県,中小企業,917,,,,573,,667,,,,20200106
175,（株）エルテック,9140001064757,兵庫県,中小企業,1079,,,,1500,,709,,612,,20200106
176,扇コンサルタンツ（株）,8140001001166,兵庫県,中小企業,864,,,,926,,604,,,,20200106
177,扇精光コンサルタンツ（株）,7310001000283,長崎県,中小企業,60,,,,264,,,,52,,20200106
178,応用技術（株）,9120001121031,大阪府,大企業,899,,,,393,,,,,,20200106
179,応用地質（株）,2010001034531,東京都,大企業,66,,732,,17,,1,,,,20200106
180,大分技術開発（株）,7320001009976,大分県,中小企業,486,,,,1099,,,,,,20200106
181,（株）オーエス,8120101035545,大阪府,中小企業,856,,,,,,,,537,,20200106
182,（株）オーエスエー,7260001019602,岡山県,中小企業,601,,,,927,,644,,504,,20200106
183,（株）オーエムアイ,3500001007668,愛媛県,中小企業,842,-01,,,1393,-01,,,540,-01,20200106
184,大阪技術管理（株）,4120001040541,大阪府,中小企業,561,,,,308,,,,,,20200106
185,（株）オーシスマップ,9140001046689,兵庫県,中小企業,334,,,,1173,,,,608,,20200106
186,大島技術コンサルタント（株）,9260001022868,岡山県,中小企業,753,,,,1031,,564,,303,,20200106
187,オーシャンエンジニアリング（株）,1030001010176,茨城県,中小企業,494,,,,,,,,,,20200106
188,（株）オオスミ,9020001001243,神奈川県,大企業,986,,,,281,,,,,,20200106
189,大高理工（株）,6200001013306,岐阜県,中小企業,782,-01,,,1288,-02,581,-01,442,-01,20200106
190,（株）大田技術コンサルタント,4280001003904,島根県,中小企業,718,,,,602,,223,,302,,20200106
191,（有）太田ジオリサーチ,7140002055947,兵庫県,中小企業,892,,,,635,,300,,,,20200106
192,鵬技術コンサルタント（株）,4270001004977,鳥取県,中小企業,369,,,,472,,238,,278,,20200106
193,鳳コンサルタント（株）,3120001131325,大阪府,中小企業,835,,498,,318,,,,,,20200106
194,（株）オオバ,9013201001170,東京都,大企業,7,,215,,18,,93,,9,,20200106
195,（株）大林組,7010401088742,東京都,大企業,243,,15,,156,,57,,,,20200106
196,（株）オービット,1290001020645,福岡県,中小企業,463,,,,451,,,,,,20200106
197,（株）大増コンサルタンツ,3180001019110,愛知県,中小企業,144,,518,,320,,266,,46,,20200106
198,（株）大本組,7260001001493,岡山県,中小企業,823,,504,,1066,,,,,,20200106
199,（株）大屋ハイテック,9280001004807,島根県,中小企業,534,,,,759,,436,,281,,20200106
200,（株）オーライズ,9260001028080,岡山県,中小企業,1078,-01,,,968,-01,731,-02,,,20200106
201,（株）オカコン,7260001001519,岡山県,中小企業,749,,,,887,,557,,375,,20200106
202,（株）岡崎測量,5280001005239,島根県,中小企業,707,,,,,,,,491,,20200106
203,（株）オキココーポレーション,7120001061948,大阪府,中小企業,807,,,,1046,,88,,,,20200106
204,（株）沖潮綜研事務所,1250001006680,山口県,中小企業,1032,,866,,1439,,,,551,,20200106
205,（有）沖繩磁探総業,2360002000844,沖縄県,中小企業,624,,,,,,,,,,20200106
206,沖昌エンジニアリング（株）,5011501009391,東京都,大企業,256,,837,,185,,,,,,20200106
207,（株）奥村組,7120001004931,大阪府,大企業,410,,149,,409,,,,,,20200106
208,（株）押川測量設計,5290801000470,福岡県,中小企業,711,,,,1306,,,,434,,20200106
209,（有）オフィスツーワン,2240002036438,広島県,中小企業,1068,,,,1448,,,,,,20200106
210,（株）オリエンタルコンサルタンツ,4011001005165,東京都,大企業,229,,145,,5,,55,,203,,20200106
211,オリエンタル測量（株）,1280001004987,島根県,中小企業,719,,,,1051,,,,347,,20200106
212,（株）オリエントアイエヌジー,5310001000392,長崎県,中小企業,313,,667,,667,,351,,120,,20200106
213,オリジナル設計（株）,8011001065098,東京都,大企業,215,,195,,52,,393,,,,20200106
214,（株）オリンピアコンサルタント,2200001013350,岐阜県,中小企業,612,,,,748,,,,,,20200106
215,（株）オルビットプラン,2020001042005,神奈川県,中小企業,1069,,,,1452,,659,,,,20200106
216,ＨＡＲＶＥＹ（株）,1180001123913,愛知県,中小企業,1076,,,,1233,,,,,,20200106
