,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
726,（株）ズコーシャ,28-00002,帯広市,大手,34,,106,,289,,31,,142,,20200221
727,（株）セア・プラス,11-03974,神奈川県,中小,405,,1060,,,,,,429,,20200221
728,（株）静環検査センター,11-03606,静岡県,大手,870,,328,,,,,,429,,20200221
729,（株）青秋,11-02410,青森県,中小,209,,567,,,,109,,247,,20200221
730,（株）西播設計,11-02400,兵庫県,中小,277,,267,,435,,31,,142,,20200221
731,（株）成和技術,11-02223,山形県,中小,209,,610,,435,,91,,247,,20200221
732,成和コンサルタント（株）,11-02411,東京都,中小,540,,185,,,,,,247,,20200221
733,正和設計（株）,11-02467,滋賀県,中小,34,,185,,435,,174,,247,,20200221
734,（株）施工技術研究所,11-04241,東京都,大手,341,,165,,571,,,,,,20200221
735,（株）瀬野測量コンサル,28-00511,帯広市,中小,945,,,,,,,,,,20200221
736,（株）セリオス,11-03946,大阪府,中小,130,,256,,394,,391,,,,20200221
737,（株）センク２１,11-00717,東京都,中小,540,,185,,,,,,,,20200221
738,（株）センソクコンサルタント,11-04951,宮城県,中小,209,,610,,,,,,,,20200221
739,セントラル技研（株）,11-05422,青森県,中小,540,,731,,,,174,,247,,20200221
740,セントラルコンサルタント（株）,11-00500,東京都,大手,140,,1,,289,,,,142,,20200221
741,全日本コンサルタント（株）,11-05425,大阪府,中小,209,,106,,166,,,,247,,20200221
742,（株）ゼンリン,11-03205,福岡県,大手,34,,,,,,,,,,20200221
743,（株）創建社,21-01146,札幌市,中小,817,,929,,116,,,,,,20200221
744,（株）総合環境計画,11-04012,東京都,中小,870,,461,,571,,,,429,,20200221
745,総合技術開発（株）,11-02543,東京都,中小,341,,243,,,,,,,,20200221
746,（株）綜合技術コンサルタント,11-00555,東京都,大手,277,,1,,,,,,91,,20200221
747,（株）創生コンサルタント,21-01687,岩見沢市,中小,703,,899,,,,,,,,20200221
748,宗谷測量（株）,31-00035,稚内市,中小,540,,929,,,,174,,247,,20200221
749,（株）測進開発,11-05408,宮崎県,中小,703,,,,,,343,,,,20200221
750,（株）測新開発,25-00636,旭川市,中小,870,,1060,,,,,,,,20200221
751,（株）測土開発,23-00370,檜山郡江差町,中小,703,,1060,,,,343,,,,20200221
752,（株）測機社,21-01873,札幌市,中小,540,,929,,,,,,,,20200221
753,（株）空知コンサルタント,22-01561,美唄市,中小,540,,,,,,174,,,,20200221
754,（株）ソレイユ,11-05091,東京都,中小,341,,,,376,,83,,,,20200221
755,（株）大輝,11-03148,東京都,中小,16,,610,,435,,109,,247,,20200221
756,大起コンサルタント（株）,29-00277,北見市,中小,363,,929,,,,174,,247,,20200221
757,大成エンジニアリング（株）,11-00266,東京都,大手,140,,1,,,,,,247,,20200221
758,大成建設（株）,11-00126,東京都,中小,413,,1,,35,,,,142,,20200221
759,（株）大成コンサル,11-03632,青森県,中小,277,,567,,435,,109,,247,,20200221
760,大成測量設計（株）,25-00173,旭川市,中小,817,,,,,,429,,,,20200221
761,（株）泰斗エンジニア,21-02558,札幌市,中小,807,,1159,,,,,,,,20200221
762,太平洋総合コンサルタント（株）,27-00338,釧路市,中小,277,,267,,,,109,,108,,20200221
763,（株）タイホクプランニング,25-00572,富良野市,中小,703,,829,,,,,,,,20200221
764,太洋エンジニアリング（株）,11-03536,奈良県,中小,34,,185,,,,59,,142,,20200221
765,（株）大洋画地,11-00199,埼玉県,中小,34,,610,,,,174,,,,20200221
766,（株）太陽測地社,11-02351,石川県,中小,506,,929,,,,,,247,,20200221
767,大陸建設（株）,27-00130,釧路市,中小,506,,,,,,,,,,20200221
768,（株）タカギエンジニア,24-00471,小樽市,中小,916,,1183,,,,,,,,20200221
769,（株）高崎,21-01534,札幌市,中小,506,,1117,,617,,158,,,,20200221
770,（株）高崎総合コンサルタント,11-00708,福岡県,中小,34,,185,,,,174,,247,,20200221
771,（株）高島テクノロジーセンター,11-02594,神奈川県,大手,277,,106,,435,,,,247,,20200221
772,（株）タカダ,11-01247,大阪府,大手,540,,,,,,6,,,,20200221
773,高野測量（有）,29-00043,網走市,中小,540,,,,,,,,,,20200221
774,（有）高橋測量事務所,27-00129,根室市,中小,540,,,,,,,,,,20200221
775,高橋測量設計（株）,28-00363,中川郡幕別町,中小,540,,929,,,,,,,,20200221
776,滝川測量設計（株）,22-01795,滝川市,中小,540,,929,,,,,,,,20200221
777,（株）拓殖設計,21-00208,札幌市,中小,363,,610,,,,,,,,20200221
778,拓新エンジニア（株）,22-01660,夕張郡長沼町,中小,413,,929,,,,,,,,20200221
779,（株）タケカワ総合コンサルタント,21-01176,札幌市,中小,209,,731,,,,,,,,20200221
780,（株）武田測量設計事務所,21-00742,札幌市,中小,277,,731,,,,,,,,20200221
781,（株）タナカコンサルタント,26-00245,苫小牧市,中小,34,,267,,,,17,,142,,20200221
782,（株）田中測量設計,28-00134,帯広市,中小,817,,929,,,,174,,,,20200221
783,（株）田西設計コンサル,21-00365,札幌市,中小,209,,489,,,,,,247,,20200221
784,（株）玉川測量設計事務所,23-00260,函館市,中小,540,,929,,,,,,,,20200221
785,玉野総合コンサルタント（株）,11-05399,愛知県,大手,6,,1,,116,,6,,53,,20200221
786,（株）田宮設計事務所,21-01108,札幌市,中小,413,,489,,,,,,,,20200221
787,第一建設設計（株）,11-02288,大阪府,中小,413,,361,,,,,,247,,20200221
788,第一航業（株）,11-03599,東京都,中小,16,,610,,,,174,,,,20200221
789,（株）第一総合エンジニア,11-04638,広島県,中小,209,,267,,435,,174,,247,,20200221
790,（株）第一テクノコンサルタンツ,11-03659,宮崎県,中小,540,,731,,,,174,,,,20200221
791,第一復建（株）,11-00493,福岡県,大手,34,,106,,,,109,,142,,20200221
792,（株）ダイイチプラニング,25-00239,旭川市,中小,413,,731,,,,174,,,,20200221
793,（株）ダイエツ,11-04949,福島県,中小,277,,567,,,,174,,142,,20200221
794,大開技術コンサルタント（株）,28-00128,中川郡幕別町,中小,540,,731,,,,174,,,,20200221
795,（株）大共,31-00047,稚内市,中小,870,,,,,,,,,,20200221
796,（株）大進,11-04349,鹿児島県,中小,140,,185,,289,,53,,247,,20200221
797,（株）大進コンサルタント,11-03965,熊本県,中小,209,,489,,,,174,,,,20200221
798,ダイシン設計（株）,21-00313,札幌市,中小,34,,185,,,,,,108,,20200221
799,（株）ダイセキ環境ソリューション,11-05312,愛知県,大手,768,,1117,,,,,,484,,20200221
800,（株）大地開発,11-05453,福島県,中小,528,,,,,,,,,,20200221
801,大地コンサルタント（株）,25-00025,旭川市,中小,540,,267,,,,,,23,,20200221
802,（株）大地設計事務所,11-03994,新潟県,中小,768,,1117,,,,391,,,,20200221
803,（有）大東測量,27-00837,川上郡弟子屈町,中小,703,,,,,,,,,,20200221
804,大同コンサルタンツ（株）,11-04690,岐阜県,大手,34,,185,,,,31,,247,,20200221
805,大同情報技術（株）,11-02323,東京都,中小,506,,929,,,,174,,,,20200221
806,大日コンサルタント（株）,11-00104,岐阜県,大手,34,,1,,289,,59,,67,,20200221
807,大日本コンサルタント（株）,11-00704,東京都,大手,34,,1,,215,,174,,27,,20200221
808,大福コンサルタント（株）,11-04695,鹿児島県,中小,34,,185,,435,,31,,247,,20200221
809,（株）ダイヤコンサルタント,11-00027,東京都,大手,140,,1,,,,,,1,,20200221
810,（株）ダイワ技術サービス,11-04631,宮城県,中小,125,,433,,,,343,,88,,20200221
811,大和測量設計（株）,11-03629,東京都,中小,209,,,,,,59,,,,20200221
812,大和探査技術（株）,11-00873,東京都,大手,34,,361,,,,,,23,,20200221
813,（株）大和地質,11-03097,愛知県,中小,540,,731,,,,,,108,,20200221
814,（株）地域開発エンジニアリング,29-00567,北見市,中小,817,,929,,,,,,,,20200221
815,（株）地域開発コンサルタンツ,11-03088,東京都,中小,540,,731,,,,,,,,20200221
816,（株）地域計画センター,21-00835,札幌市,中小,817,,610,,,,,,,,20200221
817,（株）地球科学総合研究所,11-01158,東京都,大手,209,,361,,,,,,16,,20200221
818,（株）地研コンサルタンツ,11-03186,埼玉県,中小,540,,731,,,,,,108,,20200221
819,（株）地圏総合コンサルタント,11-04025,東京都,中小,140,,106,,,,,,27,,20200221
820,千葉エンジニアリング（株）,11-02559,千葉県,中小,486,,480,,,,,,27,,20200221
821,（株）千葉測量技研,11-03559,宮城県,中小,405,,829,,,,343,,429,,20200221
822,千廣測量（株）,21-00934,札幌市,中小,540,,929,,,,174,,247,,20200221
823,（株）中央エンジニア,28-00200,帯広市,中小,540,,929,,,,,,,,20200221
824,中央開発（株）,11-00627,東京都,大手,140,,1,,435,,174,,1,,20200221
825,中央技術（株）,11-03939,茨城県,中小,34,,361,,235,,31,,247,,20200221
826,（株）中央技術コンサルタンツ,11-03200,東京都,大手,140,,106,,289,,,,142,,20200221
827,（株）中央クリエイト,11-02534,東京都,大手,768,,711,,166,,5,,484,,20200221
828,中央建鉄（株）,11-00378,東京都,中小,540,,929,,289,,28,,247,,20200221
829,中央コンサルタンツ（株）,11-00424,愛知県,大手,140,,1,,289,,174,,44,,20200221
830,（株）中央ジオマチックス,11-03600,東京都,中小,363,,,,,,,,,,20200221
831,（株）中央設計技術研究所,11-04599,石川県,大手,277,,1,,289,,,,247,,20200221
832,中央測建（株）,21-01334,札幌市,中小,540,,,,,,,,,,20200221
833,中央復建コンサルタンツ（株）,11-00180,大阪府,大手,34,,1,,166,,91,,44,,20200221
834,（株）中央補償コンサルタント,11-04954,福岡県,中小,817,,,,435,,31,,,,20200221
