,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
0,（株）アーキジオ,2230001010477,富山県,中小企業,184,,,,622,,100,,,,20191201
1,アークコーポレーション（株）,4460101000007,北海道,中小企業,1582,,,,1062,,,,,,20191201
2,（株）アーク・ジオ・サポート,1011001044505,東京都,中小企業,619,,,,1355,,,,,,20191201
3,（株）アークスタッフ,7360001008388,沖縄県,中小企業,1266,,,,576,,792,,,,20191201
4,（株）アーク測量設計,4070001023642,群馬県,中小企業,1213,,,,,,,,,,20191201
5,（株）アース・アナライザー,9130001062613,京都府,中小企業,1664,,,,,,,,,,20191201
6,（株）アースクレア,7260001021252,岡山県,中小企業,627,,,,1386,,,,,,20191201
7,（株）アース設計コンサルタント,7013101000010,東京都,中小企業,1164,,,,1249,,,,,,20191201
8,（有）アース測地,6040002065890,千葉県,中小企業,1650,,,,,,,,,,20191201
9,（株）アーステック東洋,4130001013678,京都府,中小企業,1314,,,,1346,,204,,,,20191201
10,（株）アースリサーチ,8030001000063,埼玉県,中小企業,1585,,,,,,344,,,,20191201
11,（株）アート工測,9060001011940,栃木県,中小企業,1205,,,,1771,,,,,,20191201
12,（株）アート総合設計,1080401017824,静岡県,中小企業,1643,-01,710,-01,,,,,,,20191201
13,アーバンエンジニア（株）,6011101000386,東京都,中小企業,1467,,,,1143,,,,,,20191201
14,（株）アーバンシステムコンサルタント,7050001031322,茨城県,中小企業,901,,,,1545,,,,680,,20191201
15,（株）アーバン設計,1380001004366,福島県,中小企業,1214,,1083,,994,,,,,,20191201
16,（株）アーバンデザインコンサルタント,6011101000543,東京都,中小企業,1125,,837,,958,,,,,,20191201
17,（株）アーバントラフィックエンジニアリング,2011101000547,東京都,中小企業,1479,,,,764,,,,,,20191201
18,（株）アーバンパイオニア設計,3120001053676,大阪府,中小企業,1083,,1231,,487,,,,,,20191201
19,（株）アールズ環境ソリューションズ,9021001024003,神奈川県,中小企業,1353,,,,1911,,859,,1002,,20191201
20,アールテックコンサルタント（株）,9010701011534,東京都,中小企業,1303,,,,1063,,816,,,,20191201
21,（有）アイエー測量コンサルタンツ,6021002070362,神奈川県,中小企業,1641,,,,,,,,1055,,20191201
22,（株）アイエー測量設計,8020001092779,神奈川県,中小企業,1661,,,,,,,,1067,,20191201
23,（株）アイエスシイ,6180001033595,愛知県,中小企業,516,,,,383,,310,,880,,20191201
24,相生エンジニアリング（株）,8240001021682,広島県,中小企業,198,,,,618,,851,,359,,20191201
25,（株）愛河調査設計,9180001033634,愛知県,中小企業,311,,966,,681,,643,,172,,20191201
26,（株）アイコン,4140001064340,兵庫県,中小企業,654,,,,705,,,,,,20191201
27,（株）アイコンサルタンツ,9040001000045,千葉県,中小企業,1310,,,,1352,,,,,,20191201
28,あい設計（株）,7110001017018,新潟県,中小企業,1635,,1211,,1972,,889,,1042,,20191201
29,（株）あい造園設計事務所,4011301015442,東京都,中小企業,1639,,1206,,1732,,,,,,20191201
30,（株）あいだ測量設計,6050001015301,茨城県,中小企業,916,,,,,,,,,,20191201
31,会津土建（株）,3380001017151,福島県,中小企業,1136,,,,,,,,,,20191201
32,（株）アイ・ディー・エー,8070001006008,群馬県,大企業,282,,685,,114,,736,,827,,20191201
33,（株）アイテック,9420001011383,青森県,中小企業,576,,,,985,,502,,285,,20191201
34,アイテックコンサルタント（株）,5011101049771,東京都,中小企業,1497,,,,215,,,,,,20191201
35,（株）アイネス,3430001000226,北海道,中小企業,441,,,,279,,418,,,,20191201
36,（株）アイノス,5110001012441,新潟県,中小企業,651,,,,1533,,,,496,,20191201
37,（株）アイビーコンサルタント,5050001027306,茨城県,中小企業,1338,,,,1922,,864,,987,,20191201
38,（株）アイマーク,4020001082016,神奈川県,中小企業,1592,,721,,,,,,200,,20191201
39,アイレック技建（株）,4010501004362,東京都,大企業,1547,,,,385,,,,,,20191201
40,（株）アイワ技研,1050001008854,茨城県,中小企業,942,,,,1488,,,,481,,20191201
41,（株）相和コンサルタント,3200001025485,岐阜県,中小企業,774,,,,1259,,,,863,,20191201
42,愛和測量設計（株）,5012401000044,東京都,中小企業,897,,,,,,,,,,20191201
43,（株）葵エンジニアリング,6180001029197,愛知県,中小企業,209,,827,,230,,367,,585,,20191201
44,あおい建設コンサルタント（株）,6180001015924,愛知県,中小企業,1068,,599,,1650,,,,252,,20191201
45,（株）アオイテック,7180001011435,愛知県,中小企業,1016,,,,1201,,78,,,,20191201
46,（株）青木測量設計,4050001013843,茨城県,中小企業,1523,,,,1856,,810,,892,,20191201
47,（有）青木測量設計事務所,3080102013179,静岡県,中小企業,1051,,,,1187,,,,546,,20191201
48,あおぞら土地家屋調査士法人,2240005002734,広島県,中小企業,864,,,,,,,,954,,20191201
49,青葉コンサルタント（株）,5170001012618,和歌山県,中小企業,1355,,,,809,,853,,,,20191201
50,あおみ建設（株）,6010401076946,東京都,中小企業,1135,,,,1219,,,,,,20191201
51,（株）青山設計,3110001015520,新潟県,中小企業,1060,,839,,1530,,,,592,,20191201
52,赤沢測量設計（株）,5030001089281,埼玉県,中小企業,1383,,,,1973,,,,1046,,20191201
53,（株）アガック,1013301014641,東京都,中小企業,1587,-01,,,,,345,-01,,,20191201
54,（株）秋元技術コンサルタンツ,6370001001459,宮城県,中小企業,318,,,,1440,,,,112,,20191201
55,（株）秋山設計,5021001032257,神奈川県,中小企業,813,,511,,,,,,557,,20191201
56,（株）秋山測量設計,6260002016194,岡山県,中小企業,940,,,,1535,,706,,671,,20191201
57,信工業（株）,5050001025524,茨城県,中小企業,1532,,,,,,,,,,20191201
58,（株）アクアテルス,2030001010423,埼玉県,大企業,478,,,,225,,216,,163,,20191201
59,（株）アクアプラン,3110001000241,新潟県,中小企業,1242,,,,1008,,,,,,20191201
60,（株）アクセス,4150001014773,奈良県,中小企業,1328,,,,,,,,,,20191201
61,（株）アクト,7080101003937,静岡県,中小企業,869,,,,1422,,,,1012,,20191201
62,（株）アクロス,3100001009011,長野県,中小企業,1340,,1184,,1394,,858,,995,,20191201
63,（株）アコード,8120001040851,大阪府,中小企業,590,,,,1637,,,,,,20191201
64,アコン測量設計（株）,7070001000102,群馬県,中小企業,610,,,,759,,730,,771,,20191201
65,（株）旭工測量設計,2110001024869,新潟県,中小企業,937,,993,,1667,,,,571,,20191201
