,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
1776,（株）クリタス,1013301002893,東京都,大企業,,,533,,,,331,,,,20200215
1777,（株）栗山建築設計研究所,4290001012937,福岡県,中小企業,,,493,,,,,,,,20200215
1778,（株）栗生総合計画事務所,5010001002254,東京都,中小企業,,,463,-01,,,,,,,20200215
1779,（株）車田建築設計亊務所,7240001003021,広島県,中小企業,,,162,,,,,,,,20200215
1780,（株）黒川紀章建築都市設計事務所,2010001165244,東京都,中小企業,,,582,,,,,,,,20200215
1781,（株）桑野設計,8320002019040,大分県,中小企業,,,639,,,,,,,,20200215
1782,（有）桑山,7140002066366,兵庫県,中小企業,,,1023,-01,1851,-01,,,,,20200215
1783,（有）グン企画設計一級建築士事務所,7011102021100,東京都,中小企業,,,650,,,,,,,,20200215
1784,景域計画（株）,7020001105302,神奈川県,中小企業,,,1104,,1814,,,,,,20200215
1785,（株）ＫＳＫ,1050001028670,茨城県,中小企業,,,1073,,868,,,,,,20200215
1786,（株）Ｋ構造研究所,3240001003058,広島県,中小企業,,,244,,,,,,,,20200215
1787,（一財）経済調査会,1010005002667,東京都,公益法人,,,333,,50,,,,,,20200215
1788,（株）ケークリエイト,8011101050966,東京都,中小企業,,,1055,,,,,,,,20200215
1789,（株）ケーネス,8010401009458,東京都,中小企業,,,832,,1199,,,,,,20200215
1790,（株）ＫＥＮ建築設計一級建築士事務所,6290001070990,福岡県,中小企業,,,732,,,,,,,,20200215
1791,（株）建設環境コンサルティング,8120001143852,大阪府,中小企業,,,655,,1390,,819,,,,20200215
1792,（株）ＧＥＮ設計,5260001002270,岡山県,中小企業,,,228,,,,,,,,20200215
1793,（有）堅設計事務所,6310002008748,長崎県,中小企業,,,1016,,,,,,,,20200215
1794,（一財）建設物価調査会,6010005018675,東京都,公益法人,,,206,,62,,,,,,20200215
1795,（株）建綜研,3120001063543,大阪府,中小企業,,,172,,,,,,,,20200215
1796,（株）現代計画研究所,9011601002061,東京都,中小企業,,,305,,1610,,,,,,20200215
1797,（株）現代建築研究所,2011101006313,東京都,中小企業,,,224,,,,,,,,20200215
1798,（株）現代設計,5360001011121,沖縄県,中小企業,,,271,,,,,,571,,20200215
1799,現代設計（株）,1250001012118,山口県,中小企業,,,918,,,,,,,,20200215
1800,（株）現代ランドスケープ,8120001078974,大阪府,中小企業,,,1003,,1645,,,,,,20200215
1801,（企）建築環境システム,8180305002609,愛知県,中小企業,,,267,,,,,,,,20200215
1802,（株）建築企画こが,3290001052827,福岡県,中小企業,,,747,,,,,,,,20200215
1803,（株）建築企画コム・フォレスト,8290001003057,福岡県,中小企業,,,631,,,,,,,,20200215
1804,（株）建築工房亥,5360001021517,沖縄県,中小企業,,,934,,,,,,868,,20200215
1805,（一財）建築コスト管理システム研究所,4010405010399,東京都,公益法人,,,331,-02,,,,,,,20200215
1806,（株）建築設備設計研究所,9010401052746,東京都,中小企業,,,84,,,,,,,,20200215
1807,（一財）建築保全センター,4010005018719,東京都,公益法人,,,213,,,,,,,,20200215
1808,ゲンプラン設計（株）,3340001001588,鹿児島県,中小企業,,,506,,,,,,,,20200215
1809,（株）コア設計事務所,6310001004302,長崎県,中小企業,,,652,,,,,,,,20200215
1810,（有）小泉アトリエ,5020002075967,神奈川県,中小企業,,,672,,,,,,,,20200215
1811,（株）小井手設計,9310001012178,長崎県,中小企業,,,1084,,,,,,,,20200215
1812,（一社）公共建築協会,6010005018493,東京都,公益法人,,,216,-01,,,,,,,20200215
1813,（株）交建設計,6010001043999,東京都,大企業,,,46,,,,,,,,20200215
1814,（株）構研設計事務所,4012801002062,東京都,中小企業,,,408,,,,,,,,20200215
1815,（株）上坂設計,5120001061017,大阪府,中小企業,,,119,,,,,,,,20200215
1816,（株）構造計画研究所,7011201001655,東京都,大企業,,,28,,894,,,,,,20200215
1817,（株）構造総合技術研究所,2122001012084,大阪府,中小企業,,,386,,,,,,,,20200215
1818,（一財）高度映像情報センター,3010005002707,東京都,公益法人,,,764,,1499,,,,,,20200215
1819,（株）甲山建築設計事務所,7290001017867,福岡県,中小企業,,,513,,,,,,,,20200215
1820,（有）香山壽夫建築研究所,7010002001468,東京都,中小企業,,,158,,,,,,,,20200215
1821,光陽無線（株）,2290001013078,福岡県,中小企業,,,860,,1196,,,,,,20200215
1822,（一財）高齢者住宅財団,4010005005205,東京都,公益法人,,,966,,,,,,,,20200215
1823,（株）コーエイリサーチ＆コンサルティング,9011101024804,東京都,大企業,,,230,,845,,,,,,20200215
1824,（一社）国際建設技術協会,3010005018587,東京都,公益法人,,,878,,914,,635,,,,20200215
1825,コスモプラン（株）,4011101006963,東京都,中小企業,,,1118,-01,,,,,,,20200215
1826,（株）小西建築設計事務所,3240001038062,広島県,中小企業,,,309,,,,,,616,,20200215
1827,（株）小西設計,4120001043313,大阪府,中小企業,,,160,,,,,,,,20200215
1828,（株）小林建築設計事務所,5290801009990,福岡県,中小企業,,,427,,,,,,488,,20200215
1829,（株）小堀鐸二研究所,1010401010406,東京都,中小企業,,,138,,,,,,,,20200215
1830,（株）コム計画研究所,8120001005268,大阪府,中小企業,,,704,,,,,,,,20200215
1831,（有）コラム設計,2350002001827,宮崎県,中小企業,,,485,,,,,,,,20200215
1832,（株）コンステック,1120001108515,大阪府,大企業,,,45,,700,,,,,,20200215
1833,コンストラクションインベストメントマネジャーズ（株）,5120001111309,大阪府,中小企業,,,299,,,,,,,,20200215
1834,（株）近藤設計,3350001006000,宮崎県,中小企業,,,1004,,,,,,,,20200215
1835,（株）マイ建築構造,4021001029956,神奈川県,中小企業,,,410,,,,,,,,20200215
1836,（株）前川建築設計事務所,3011101019875,東京都,中小企業,,,339,,,,,,,,20200215
1837,前田建設工業（株）,4010001008789,東京都,大企業,,,50,,234,,53,,,,20200215
1838,（株）前原設計事務所,2330001010434,熊本県,中小企業,,,460,,,,,,,,20200215
1839,（株）槇総合計画事務所,3011001031468,東京都,中小企業,,,122,,,,,,,,20200215
1840,（株）マキヤ設備設計,7360002004089,沖縄県,中小企業,,,508,,,,,,,,20200215
1841,（株）益田設計事務所,8350001008272,宮崎県,中小企業,,,190,,,,,,,,20200215
1842,マスプロ電工（株）,1180001067276,愛知県,大企業,,,622,,,,,,,,20200215
1843,（有）ＭａｓＭａｓ,6240002025635,広島県,中小企業,,,635,,,,,,,,20200215
1844,街角企画（株）,5120001106894,大阪府,中小企業,,,1070,-01,1779,-01,,,,,20200215
1845,（株）まちかん設計,8290001077786,福岡県,中小企業,,,1032,-01,,,,,,,20200215
1846,（株）まちづくり研究所,2011001022187,東京都,中小企業,,,1106,,1835,,,,,,20200215
1847,（株）松井設計,1320001002565,大分県,中小企業,,,584,,,,,,,,20200215
1848,（株）マック,5330001004342,熊本県,中小企業,,,286,,,,,,,,20200215
1849,（株）松澤建築設計事務所,2290001010496,福岡県,中小企業,,,479,,,,,,,,20200215
1850,（株）松田平田設計,8010401028152,東京都,大企業,,,17,,702,,,,,,20200215
1851,（株）松林建築設計事務所,5310001002034,長崎県,中小企業,,,393,,,,,,,,20200215
1852,（株）ＭＡＴＳＵＭＯＴＯ,8030001001136,埼玉県,中小企業,,,656,,,,,,,,20200215
1853,（有）松本一平建築設計事務所,4330002021940,熊本県,中小企業,,,729,,,,,,,,20200215
1854,（株）マトリックス,4290001010577,福岡県,中小企業,,,416,,,,,,,,20200215
1855,（株）マヌ都市建築研究所,2010001007355,東京都,中小企業,,,709,,1439,,,,,,20200215
1856,（株）丸川建築設計事務所,4260001006297,岡山県,中小企業,,,88,,,,,,,,20200215
1857,（株）マルタ設計,1010001029672,東京都,中小企業,,,121,,,,,,,,20200215
1858,（株）マルツ電波,8210001003972,福井県,大企業,,,786,,1522,,,,,,20200215
1859,マン・テック（株）,9370001010424,宮城県,中小企業,,,293,,,,,,,,20200215
1860,（株）みかげ総合設計コンサルタント,8290801003636,福岡県,中小企業,,,1001,,,,,,245,,20200215
1861,（株）三上建築事務所,4050001002598,茨城県,中小企業,,,169,,,,,,,,20200215
1862,（株）みかんぐみ,8020001044978,神奈川県,中小企業,,,667,,,,,,,,20200215
1863,（有）みき建築設計,1360002012469,沖縄県,中小企業,,,595,,,,,,722,,20200215
1864,（有）三島建築設計事務所,9340002009253,鹿児島県,中小企業,,,491,,,,,,,,20200215
1865,（株）水谷設計,7290801009444,福岡県,中小企業,,,923,,,,,,,,20200215
1866,みずほ情報総研（株）,9010001027685,東京都,大企業,,,634,,1302,,,,,,20200215
1867,みずほ総合研究所（株）,5010001021403,東京都,大企業,,,276,,1311,,,,,,20200215
1868,（株）溝上建築設計事務所,5310001002125,長崎県,中小企業,,,712,,,,,,,,20200215
1869,三井企画（株）,3012801001577,東京都,中小企業,,,524,,,,,,,,20200215
1870,光井純アンドアソシエーツ建築設計事務所（株）,7010701025569,東京都,中小企業,,,326,,,,,,,,20200215
1871,三井総合設計,,福岡県,中小企業,,,1100,-01,,,,,,,20200215
1872,（株）三橋設計,4010001030066,東京都,中小企業,,,136,,,,,,,,20200215
1873,（株）三菱地所設計,4010001081968,東京都,大企業,,,3,,137,,,,,,20200215
1874,（株）三菱総合研究所,6010001030403,東京都,大企業,,,96,,61,,,,,,20200215
1875,三菱電機（株）,4010001008772,東京都,大企業,,,323,,638,,,,,,20200215
1876,三菱電機ビルテクノサービス（株）,5010001030412,東京都,大企業,,,197,,,,,,,,20200215
1877,三菱ＵＦＪリサーチ＆コンサルティング（株）,3010401011971,東京都,大企業,,,617,,292,,,,,,20200215
1878,（株）三原建築設計事務所,8300001000960,佐賀県,中小企業,,,256,,,,,,,,20200215
1879,（株）三宅建築事務所,7130001007413,京都府,中小企業,,,193,,,,,,,,20200215
1880,（株）宮建築設計,4480001002497,徳島県,中小企業,,,107,,1614,,,,432,,20200215
1881,（株）宮崎設計,1350001001787,宮崎県,中小企業,,,448,,,,,,,,20200215
1882,（株）宮原龍一ＰＬＵＳ建築設計室,3250001013799,山口県,中小企業,,,1110,,,,,,,,20200215
1883,（有）みやび建築工房,9370802001919,宮城県,中小企業,,,583,,,,,,,,20200215
1884,（株）宮平設計,5360001010668,沖縄県,中小企業,,,367,,1584,,,,618,,20200215
1885,（株）宮本建築設計事務所,5310001002141,長崎県,中小企業,,,447,,,,,,,,20200215
1886,（株）宮本忠長建築設計事務所,9100001003487,長野県,中小企業,,,167,,,,,,,,20200215
1887,（有）宮森設計,9360002015142,沖縄県,中小企業,,,599,,,,,,,,20200215
1888,（株）三四五建築研究所,1230001003176,富山県,中小企業,,,104,,1536,,,,,,20200215
1889,（株）未来補償コンサルタント,7330001006072,熊本県,中小企業,,,1034,,,,,,163,,20200215
1890,（株）ムサシ,6290801009692,福岡県,中小企業,,,1059,-02,,,,,,,20200215
1891,（株）村井敬合同設計,8011101024202,東京都,中小企業,,,381,,,,,,,,20200215
1892,（有）村社和弘建築事務所,2350002004887,宮崎県,中小企業,,,534,,,,,,,,20200215
1893,（株）ムラシマ事務所,3220001006995,石川県,中小企業,,,86,,,,,,,,20200215
1894,村田建築都市研究所,,茨城県,中小企業,,,1025,,,,,,,,20200215
1895,（株）村田相互設計,3240001011663,広島県,中小企業,,,92,,,,,,,,20200215
1896,（株）ムラヤマ,5010001007765,東京都,大企業,,,337,-01,,,,,,,20200215
1897,（株）メイ建築研究所,4290001004174,福岡県,中小企業,,,356,,,,,,,,20200215
1898,（有）メイ建築研究所宮崎,4350002004902,宮崎県,中小企業,,,589,,,,,,,,20200215
1899,（有）名工企画設計,1360002004375,沖縄県,中小企業,,,425,,,,,,823,,20200215
1900,明豊ファシリティワークス（株）,7010001072436,東京都,大企業,,,27,,,,,,,,20200215
1901,（株）毛利建築設計事務所,5010001059113,東京都,中小企業,,,661,,,,,,,,20200215
