,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_technical_score,bridgemaintenance_score,date
0,青木あすなろ建設（株）,辻井　靖,東京都千代田区神田美土代町１,4010401010452,A,20,,1719,1740,3459,B,700,,1077,0,1077,○,142,,1181,0,1181,B,19,,1134,0,1134,B,特,-01,1718,1902,3620,○,69,,1329,0,1329,C,175,,1035,0,1035,C,58,,1227,0,1227,○,86,,1077,0,1077,○,93,,1342,0,1342,○,52,,1330,807,2137,,,,,,,○,92,,1330,1004,2334,○,79,,1130,0,1130,○,54,,1330,0,1330,○,50,,1181,0,1181,,,,,,,○,28,,1329,0,1329,○,288,,1151,0,1151,,,,,,,○,243,,1035,0,1035,○,57,,1330,0,1330,20211101
1,（株）安藤・間,福富　正人,東京都港区赤坂６－１－２０,2010401051696,A,7,,1913,1965,3878,B,679,,1209,0,1209,○,132,,1283,0,1283,B,14,,1200,0,1200,A,4,,1932,1933,3865,○,40,,1591,0,1591,C,65,,1256,0,1256,C,7,,1355,0,1355,○,74,,1145,0,1145,○,18,,1546,1386,2932,○,18,,1592,805,2397,○,217,,1203,0,1203,○,903,,1435,0,1435,○,72,,1202,0,1202,○,38,,1440,0,1440,○,39,,1283,0,1283,,,,,,,○,15,,1454,0,1454,○,247,,1279,0,1279,○,263,,1279,0,1279,○,171,,1209,0,1209,○,20,,1532,0,1532,20211101
2,（株）大林組,蓮輪　賢治,東京都港区港南２－１５－２　品川インターシティＢ棟,7010401088742,A,3,,2018,1976,3994,B,647,,1399,0,1399,○,92,,1682,0,1682,B,5,,1299,0,1299,A,8,,2042,1726,3768,○,24,,1744,0,1744,B,306,,1774,0,1774,B,118,,1885,0,1885,○,54,,1382,0,1382,○,15,,1735,1304,3039,○,7,,1758,785,2543,,,,,,,○,619,,1698,0,1698,○,65,,1397,0,1397,○,20,,1770,0,1770,○,18,,1672,0,1672,,,,,,,○,3,,2013,0,2013,○,156,,1759,0,1759,○,188,,1511,0,1511,○,100,,1578,0,1578,○,1,,1745,0,1745,20211101
3,（株）大本組,三宅　啓一,岡山県岡山市北区内山下１－１－１３,7260001001493,A,24,,1677,1698,3375,B,712,,1049,0,1049,○,60,,1157,833,1990,B,36,,1051,0,1051,B,41,,1696,903,2599,○,73,,1306,0,1306,C,154,,1075,0,1075,C,107,,1123,0,1123,○,93,,1049,0,1049,○,109,,1210,0,1210,○,378,,1314,0,1314,,,,,,,○,892,,1442,0,1442,○,10,,1345,975,2320,○,58,,1314,0,1314,○,57,,1157,0,1157,,,,,,,,,,,,,○,269,,1215,0,1215,,,,,,,,,,,,,○,28,,1444,0,1444,20211101
4,（株）奥村組,奥村　太加典,大阪府大阪市阿倍野区松崎町２－２－２,7120001004931,A,18,,1807,1787,3594,B,694,,1104,0,1104,○,135,,1245,0,1245,B,34,,1063,0,1063,A,20,,1844,1549,3393,○,50,,1476,0,1476,C,89,,1196,0,1196,C,36,,1283,0,1283,○,81,,1104,0,1104,○,37,,1316,729,2045,○,19,,1508,836,2344,,,,,,,○,21,,1536,1161,2697,○,73,,1173,0,1173,○,7,,1358,817,2175,○,41,,1245,0,1245,,,,,,,○,19,,1428,0,1428,○,283,,1163,0,1163,○,293,,1163,0,1163,○,188,,1162,0,1162,○,23,,1479,0,1479,20211101
5,（株）フジタ,奥村　洋治,東京都渋谷区千駄ヶ谷４－２５－２,8011001039242,A,13,,1914,1738,3652,B,667,,1284,0,1284,○,126,,1358,0,1358,B,4,,1309,0,1309,A,16,,1953,1568,3521,○,38,,1594,0,1594,C,41,,1344,0,1344,B,260,,1528,0,1528,○,64,,1209,0,1209,○,26,,1559,1048,2607,○,303,,1570,0,1570,○,206,,1285,0,1285,○,108,,1575,715,2290,○,76,,1160,0,1160,○,37,,1447,0,1447,○,35,,1368,0,1368,,,,,,,○,13,,1508,0,1508,○,232,,1379,0,1379,,,,,,,○,117,,1395,0,1395,○,13,,1584,0,1584,20211101
6,（株）不動テトラ,奥田　眞也,東京都中央区日本橋小網町７－２　ぺんてるビル,4010001141053,A,23,,1642,1742,3384,B,723,,1009,0,1009,○,148,,1160,0,1160,B,44,,1011,0,1011,D,53,,1195,0,1195,,,,,,,,,,,,,,,,,,,○,110,,1009,0,1009,○,101,,1279,0,1279,○,393,,1228,0,1228,○,386,,857,0,857,○,1002,,1228,0,1228,○,7,,1277,1345,2622,○,71,,1228,0,1228,○,56,,1160,0,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,70,,1268,0,1268,20211101
7,鹿島建設（株）,天野　裕正,東京都港区元赤坂１－３－１,8010401006744,A,1,,2022,2051,4073,B,649,,1399,0,1399,○,121,,1411,0,1411,B,29,,1094,0,1094,A,3,,2042,1870,3912,○,30,,1678,0,1678,C,16,,1434,0,1434,B,283,,1432,0,1432,○,55,,1375,0,1375,○,7,,1732,1504,3236,○,314,,1544,0,1544,○,221,,1194,0,1194,○,35,,1588,1006,2594,○,64,,1398,0,1398,○,29,,1544,0,1544,○,31,,1411,0,1411,○,36,,1069,0,1069,○,10,,1625,0,1625,○,208,,1514,0,1514,○,236,,1400,0,1400,○,113,,1438,0,1438,○,16,,1544,0,1544,20211101
8,（株）熊谷組,櫻野　泰則,東京都新宿区津久戸町２－１,1210001001082,A,10,,1863,1813,3676,B,687,,1163,0,1163,○,125,,1362,0,1362,B,17,,1160,0,1160,A,13,,1872,1680,3552,○,54,,1443,0,1443,C,78,,1213,0,1213,C,71,,1213,0,1213,○,71,,1163,0,1163,○,79,,1578,0,1578,○,308,,1562,0,1562,○,295,,963,0,963,○,19,,1576,1135,2711,○,74,,1168,0,1168,○,45,,1385,0,1385,○,40,,1277,0,1277,,,,,,,○,23,,1394,0,1394,○,256,,1243,0,1243,○,274,,1243,0,1243,○,186,,1166,0,1166,○,39,,1385,0,1385,20211101
9,（株）鴻池組,渡津　弘己,大阪府大阪市中央区北久宝寺町３－６－１,5120001026309,A,11,,1843,1832,3675,B,698,,1090,0,1090,○,128,,1331,0,1331,B,42,,1019,0,1019,A,7,,1909,1868,3777,○,44,,1523,0,1523,C,57,,1280,0,1280,B,286,,1426,0,1426,○,101,,1032,0,1032,○,27,,1479,949,2428,○,34,,1407,803,2210,○,249,,1065,0,1065,○,918,,1407,0,1407,○,103,,1004,0,1004,○,42,,1407,0,1407,○,37,,1331,0,1331,,,,,,,○,18,,1431,0,1431,○,277,,1183,0,1183,○,340,,1039,0,1039,○,137,,1311,0,1311,○,10,,1597,0,1597,20211101
10,五洋建設（株）,清水　琢三,東京都文京区後楽２－２－８,1010001000006,A,9,,1907,1838,3745,B,663,,1339,0,1339,○,118,,1464,0,1464,B,33,,1067,0,1067,A,6,,1879,1922,3801,○,3,,1450,880,2330,C,67,,1251,0,1251,C,31,,1290,0,1290,○,56,,1373,0,1373,○,25,,1473,1146,2619,○,22,,1478,805,2283,○,274,,987,0,987,○,16,,1554,1207,2761,○,6,,1591,1093,2684,○,26,,1606,0,1606,○,68,,1118,0,1118,,,,,,,,,,,,,○,216,,1466,0,1466,,,,,,,,,,,,,○,32,,1429,0,1429,20211101
11,前田建設工業（株）,前田　操治,東京都千代田区富士見２－１０－２,4010001008789,A,6,,1965,1989,3954,B,666,,1297,0,1297,○,117,,1495,0,1495,B,1,,1415,0,1415,B,9,,1969,887,2856,○,27,,1698,0,1698,C,30,,1376,0,1376,B,274,,1463,0,1463,○,66,,1202,0,1202,○,14,,1634,1428,3062,○,12,,1602,837,2439,,,,,,,○,49,,1655,826,2481,○,68,,1333,0,1333,○,34,,1487,0,1487,○,36,,1350,0,1350,,,,,,,○,6,,1848,0,1848,○,106,,1372,630,2002,,,,,,,○,143,,1286,0,1286,○,4,,1662,0,1662,20211101
12,三井住友建設（株）,近藤　重敏,東京都中央区佃２－１－６,2010001131477,A,16,,1849,1784,3633,B,720,,1021,0,1021,○,131,,1284,0,1284,B,45,,1007,0,1007,A,18,,1865,1614,3479,○,47,,1492,0,1492,C,113,,1119,0,1119,C,39,,1280,0,1280,○,103,,1021,0,1021,○,2,,1720,1795,3515,○,26,,1447,808,2255,○,243,,1095,0,1095,○,67,,1558,853,2411,○,81,,1124,0,1124,○,35,,1478,0,1478,○,38,,1284,0,1284,,,,,,,○,20,,1428,0,1428,○,238,,1338,0,1338,○,271,,1253,0,1253,○,202,,1119,0,1119,○,6,,1644,0,1644,20211101
13,西松建設（株）,高瀬　伸利,東京都港区虎ノ門１－１７－１,8010401021454,A,8,,1882,1929,3811,B,686,,1165,0,1165,○,141,,1187,0,1187,B,24,,1122,0,1122,A,12,,1888,1684,3572,○,45,,1493,0,1493,C,84,,1203,0,1203,C,11,,1348,0,1348,○,70,,1165,0,1165,○,35,,1407,758,2165,○,317,,1537,0,1537,○,224,,1171,0,1171,○,28,,1620,1027,2647,○,75,,1163,0,1163,○,30,,1539,0,1539,○,46,,1215,0,1215,,,,,,,○,21,,1410,0,1410,○,241,,1323,0,1323,○,286,,1187,0,1187,○,185,,1169,0,1169,○,35,,1404,0,1404,20211101
14,佐藤工業（株）,平間　宏,東京都中央区日本橋本町４－１２－１９,2230001001055,A,19,,1671,1803,3474,B,726,,1004,0,1004,○,150,,1149,0,1149,B,70,,944,0,944,A,27,,1726,1462,3188,○,77,,1286,0,1286,C,130,,1104,0,1104,C,112,,1119,0,1119,○,129,,982,0,982,○,102,,1279,0,1279,○,69,,1283,799,2082,○,264,,1008,0,1008,○,940,,1370,0,1370,○,109,,971,0,971,○,61,,1267,0,1267,○,60,,1149,0,1149,,,,,,,○,36,,1270,0,1270,○,341,,1030,0,1030,,,,,,,○,231,,1052,0,1052,○,71,,1267,0,1267,20211101
15,清水建設（株）,井上　和幸,東京都中央区京橋２－１６－１,1010401013565,A,2,,2014,1994,4008,B,678,,1215,0,1215,○,111,,1580,0,1580,B,13,,1212,0,1212,A,1,,2044,2069,4113,○,16,,1846,0,1846,B,429,,1545,0,1545,B,203,,1709,0,1709,○,73,,1152,0,1152,○,9,,1710,1494,3204,○,285,,1610,0,1610,○,126,,1547,0,1547,○,32,,1731,906,2637,○,62,,1423,0,1423,○,24,,1683,0,1683,○,26,,1480,0,1480,○,35,,1071,0,1071,○,7,,1677,0,1677,○,179,,1644,0,1644,○,203,,1471,0,1471,○,101,,1573,0,1573,○,17,,1536,0,1536,20211101
16,（株）錢高組,銭高　久善,大阪府大阪市西区西本町２－２－４,5120001049004,A,31,,1547,1745,3292,B,866,,867,0,867,○,160,,1102,0,1102,B,120,,883,0,883,A,14,,1703,1839,3542,○,89,,1234,0,1234,C,276,,938,0,938,C,95,,1140,0,1140,○,339,,865,0,865,○,22,,1406,1383,2789,○,397,,1206,0,1206,,,,,,,○,1014,,1196,0,1196,○,184,,864,0,864,○,74,,1196,0,1196,○,198,,869,0,869,,,,,,,○,45,,1234,0,1234,,,,,,,,,,,,,,,,,,,○,99,,1196,0,1196,20211101
17,大成建設（株）,相川　善郎,東京都新宿区西新宿１－２５－１,4011101011880,A,5,,2050,1915,3965,B,618,,1467,0,1467,○,96,,1671,0,1671,B,2,,1401,0,1401,A,10,,2070,1528,3598,○,22,,1757,0,1757,B,354,,1703,0,1703,B,178,,1760,0,1760,○,51,,1452,0,1452,○,12,,1790,1305,3095,○,233,,1714,0,1714,○,190,,1338,0,1338,○,7,,1821,1140,2961,○,52,,1493,0,1493,○,21,,1731,0,1731,○,15,,1717,0,1717,,,,,,,○,8,,1675,0,1675,○,187,,1620,0,1620,○,202,,1480,0,1480,○,95,,1602,0,1602,○,14,,1572,0,1572,20211101
18,（株）竹中土木,竹中　康一,東京都江東区新砂１－１－１,4010601030580,A,17,,1815,1791,3606,B,677,,1215,0,1215,○,147,,1160,0,1160,B,16,,1173,0,1173,D,24,,1231,0,1231,,,,,,,,,,,,,,,,,,,○,77,,1137,0,1137,○,88,,1382,0,1382,○,31,,1419,808,2227,,,,,,,○,953,,1346,0,1346,○,84,,1109,0,1109,○,5,,1346,899,2245,○,55,,1160,0,1160,,,,,,,,,,,,,○,301,,1114,0,1114,,,,,,,,,,,,,○,50,-01,1346,0,1346,20211101
19,鉄建建設（株）,伊藤　泰司,東京都千代田区神田三崎町２－５－３,2010001008709,A,14,,1832,1803,3635,B,685,,1174,0,1174,○,136,,1231,0,1231,B,47,,1001,0,1001,A,19,,1774,1652,3426,○,68,,1332,0,1332,C,172,,1040,0,1040,C,137,,1096,0,1096,○,67,,1174,0,1174,○,16,,1488,1467,2955,○,369,,1357,0,1357,○,240,,1113,0,1113,○,886,,1454,0,1454,○,128,,933,0,933,○,49,,1357,0,1357,○,43,,1231,0,1231,,,,,,,○,27,,1332,0,1332,○,258,,1238,0,1238,,,,,,,○,238,,1040,0,1040,○,47,,1357,0,1357,20211101
20,東亜建設工業（株）,秋山　優樹,東京都新宿区西新宿３－７－１,3011101055078,A,21,,1833,1610,3443,B,701,,1074,0,1074,○,146,,1173,0,1173,B,43,,1016,0,1016,B,5,,1702,1221,2923,○,1,,1437,1306,2743,C,119,,1112,0,1112,C,93,,1142,0,1142,○,133,,974,0,974,○,34,,1379,844,2223,○,20,,1485,837,2322,○,288,,968,0,968,○,41,,1492,1068,2560,○,1,,1583,1548,3131,○,41,,1408,0,1408,○,58,,1151,0,1151,,,,,,,○,22,,1396,0,1396,○,265,,1223,0,1223,○,277,,1209,0,1209,○,279,,987,0,987,○,24,,1471,0,1471,20211101
21,東急建設（株）,寺田　光宏,東京都渋谷区渋谷１－１６－１４,9011001040166,A,15,,1809,1826,3635,B,680,,1209,0,1209,○,26,,1224,1427,2651,B,21,,1131,0,1131,A,5,,1868,1953,3821,○,34,,1631,0,1631,C,50,,1299,0,1299,C,12,,1343,0,1343,○,72,,1161,0,1161,○,94,,1331,0,1331,○,4,,1431,1170,2601,○,211,,1256,0,1256,○,944,,1365,0,1365,○,87,,1077,0,1077,○,47,,1365,0,1365,○,44,,1224,0,1224,,,,,,,,,,,,,○,243,,1314,0,1314,○,254,,1314,0,1314,○,187,,1164,0,1164,○,45,,1365,0,1365,20211101
22,東洋建設（株）,武澤　恭司,東京都千代田区神田神保町１－１０５,9120001077496,A,28,,1828,1507,3335,B,692,,1117,0,1117,○,145,,1175,0,1175,B,26,,1109,0,1109,B,特,-02,1720,1640,3360,○,6,,1312,845,2157,C,96,,1159,0,1159,C,97,,1135,0,1135,○,80,,1116,0,1116,○,84,,1478,0,1478,○,345,,1445,0,1445,○,237,,1115,0,1115,○,40,,1535,1026,2561,○,2,,1563,1300,2863,○,1,,1536,979,2515,○,69,,1117,0,1117,,,,,,,○,30,,1312,0,1312,○,235,,1366,0,1366,,,,,,,○,211,,1083,0,1083,○,43,,1372,0,1372,20211101
23,戸田建設（株）,大谷　清介,東京都中央区八丁堀２－８－５,6010001034874,A,4,,1979,1994,3973,B,28,,1234,1061,2295,○,35,,1541,853,2394,A,39,,1132,911,2043,A,15,,1995,1530,3525,○,43,,1555,0,1555,B,453,,1482,0,1482,B,282,,1438,0,1438,○,62,,1234,0,1234,○,28,,1449,936,2385,○,21,,1501,801,2302,○,250,,1057,0,1057,○,75,,1577,812,2389,○,69,,1273,0,1273,○,32,,1501,0,1501,○,33,,1378,0,1378,,,,,,,○,12,,1517,0,1517,○,244,,1300,0,1300,○,258,,1300,0,1300,○,123,,1364,0,1364,○,5,,1648,0,1648,20211101
24,飛島建設（株）,乘京　正弘,東京都港区港南１－８－１５,8010001008703,A,12,,1760,1898,3658,B,709,,1052,0,1052,○,153,,1141,0,1141,B,60,,969,0,969,A,11,,1682,1905,3587,○,58,,1394,0,1394,C,164,,1052,0,1052,C,79,,1197,0,1197,○,92,,1052,0,1052,○,33,,1383,852,2235,○,45,,1348,809,2157,○,327,,914,0,914,○,29,,1457,1187,2644,○,77,,1154,0,1154,○,55,,1321,0,1321,○,64,,1141,0,1141,,,,,,,○,34,,1287,0,1287,,,,,,,,,,,,,○,245,,1034,0,1034,○,51,,1343,0,1343,20211101
25,（株）ＩＨＩインフラシステム,石原　進,大阪府堺市堺区大浜西町３,5120101023932,B,31,,1346,1537,2883,,,,,,,○,3,,1673,1899,3572,,,,,,,C,696,,1306,0,1306,,,,,,,C,225,,975,0,975,,,,,,,,,,,,,,,,,,,,,,,,,○,306,,946,0,946,○,970,,1323,0,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,3,,1563,1686,3249,,,,,,,,,,,,,○,15,,1547,0,1547,20211101
26,アイサワ工業（株）,逢澤　寛人,岡山県岡山市北区表町１－５－１,4260001000102,B,3,,1473,1731,3204,B,908,,849,0,849,○,178,,1044,0,1044,B,128,,872,0,872,C,10,,1424,994,2418,○,117,,1136,0,1136,C,328,,912,0,912,,,,,,,○,444,,837,0,837,○,143,,1071,0,1071,○,412,,1162,0,1162,,,,,,,○,1030,,1162,0,1162,○,20,,969,1002,1971,○,84,,1162,0,1162,○,80,,1044,0,1044,,,,,,,○,64,,1136,0,1136,○,479,,865,0,865,,,,,,,,,,,,,○,112,,1162,0,1162,20211101
27,あおみ建設（株）,河邊　知之,東京都千代田区外神田２－２－３,6010401076946,B,16,,1588,1459,3047,B,751,,947,0,947,○,162,,1085,0,1085,B,96,,908,0,908,D,102,,1130,0,1130,,,,,,,,,,,,,,,,,,,○,159,,947,0,947,○,120,,1151,0,1151,○,389,,1247,0,1247,,,,,,,○,90,,1247,1092,2339,○,3,,1386,1441,2827,○,67,,1247,0,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,77,,1247,0,1247,20211101
28,（株）淺川組,池内　茂雄,和歌山県和歌山市小松原通３－６９,4170001000086,B,18,,1438,1580,3018,B,813,,892,0,892,,,,,,,B,112,,892,0,892,B,33,,1509,1158,2667,,,,,,,,,,,,,,,,,,,○,261,,892,0,892,○,138,,1096,0,1096,○,33,,1168,1047,2215,,,,,,,○,1025,,1168,0,1168,○,9,,1260,1068,2328,,,,,,,○,76,,1067,0,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211101
29,（株）淺沼組,浅沼　誠,大阪府大阪市浪速区湊町１－２－３マルイト難波ビル,8120001022651,B,9,,1548,1583,3131,B,853,,872,0,872,○,134,,1262,0,1262,B,104,,899,0,899,A,17,,1758,1738,3496,○,78,,1280,0,1280,C,155,,1072,0,1072,C,40,,1279,0,1279,○,321,,872,0,872,○,106,,1240,0,1240,○,76,,1267,805,2072,○,294,,963,0,963,○,128,,1266,990,2256,○,179,,872,0,872,○,73,,1211,0,1211,○,5,,1189,787,1976,,,,,,,○,35,,1280,0,1280,○,310,,1093,0,1093,○,329,,1064,0,1064,○,242,,1036,0,1036,○,90,,1211,0,1211,20211101
30,（株）新井組,馬場　公勝,兵庫県西宮市池田町１２－２０,9140001067900,B,6,,1382,1787,3169,B,799,,899,0,899,○,45,,983,1179,2162,B,132,,870,0,870,B,15,,1401,1382,2783,○,126,,1113,0,1113,C,498,,845,0,845,C,236,,988,0,988,○,247,,899,0,899,○,157,,1034,0,1034,○,109,,1187,768,1955,○,454,,815,0,815,○,43,,1116,1420,2536,○,182,,868,0,868,○,9,,1209,889,2098,○,105,,983,0,983,,,,,,,○,67,,1113,0,1113,○,378,,961,0,961,○,378,,961,0,961,○,468,,845,0,845,○,67,,1287,0,1287,20211101
31,（株）市川工務店,小川　健,岐阜県岐阜市鹿島町６－２７,1200001000374,B,24,,1341,1608,2949,A,36,,1237,1238,2475,○,257,,922,0,922,B,227,,808,0,808,B,31,,1322,1355,2677,○,139,,1082,0,1082,C,527,,834,0,834,C,637,,827,0,827,○,87,,1068,0,1068,○,170,,1011,0,1011,○,439,,1086,0,1086,○,343,,894,0,894,○,365,,1088,877,1965,○,267,,796,0,796,○,108,,1086,0,1086,○,144,,922,0,922,,,,,,,○,76,,1065,0,1065,,,,,,,,,,,,,,,,,,,○,167,,1086,0,1086,20211101
32,岩田地崎建設（株）,岩田　圭剛,北海道札幌市中央区北２条東１７－２,8430001001789,B,2,,1618,1665,3283,B,738,,968,0,968,○,41,,1299,904,2203,B,91,,917,0,917,B,20,,1652,1089,2741,○,67,,1336,0,1336,,,,,,,C,49,,1248,0,1248,○,172,,938,0,938,○,42,,1153,841,1994,○,51,,1336,803,2139,○,308,,939,0,939,○,140,,1340,886,2226,○,139,,917,0,917,○,63,,1256,0,1256,○,132,,941,0,941,,,,,,,○,41,,1252,0,1252,○,280,,1177,0,1177,○,290,,1177,0,1177,,,,,,,○,60,,1303,0,1303,20211101
33,エクシオグループ（株）,舩橋　哲也,東京都渋谷区渋谷３－２９－２０,3011001031955,B,21,,1597,1370,2967,B,609,,1486,0,1486,○,174,,1049,0,1049,B,41,,1021,0,1021,C,697,,1305,0,1305,○,125,,1113,0,1113,A,12,,1664,1724,3388,C,44,,1267,0,1267,○,60,,1287,0,1287,○,108,,1238,0,1238,○,375,,1319,0,1319,○,210,,1261,0,1261,○,36,,1420,1171,2591,,,,,,,○,57,,1319,0,1319,○,79,,1046,0,1046,,,,,,,○,66,,1113,0,1113,○,290,,1146,0,1146,○,1,,1856,1469,3325,○,11,,1511,1132,2643,○,41,,1378,0,1378,20211101
34,大林道路（株）,黒川　修治,東京都千代田区神田猿楽町２－８－８,4010601028815,B,22,,1746,1214,2960,A,8,,1771,1706,3477,,,,,,,B,52,,986,0,986,C,686,,1329,0,1329,,,,,,,,,,,,,,,,,,,○,5,,1591,1458,3049,○,98,,1284,0,1284,○,365,,1367,0,1367,,,,,,,○,15,,1380,1402,2782,○,105,,986,0,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,39,-01,1380,0,1380,20211101
35,岡本土木（株）,前田　英明,福岡県北九州市小倉北区貴船町９―１３,6290801000486,B,28,,1331,1580,2911,A,22,,1282,1552,2834,○,561,,758,0,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,35,,969,699,1668,○,245,,928,0,928,○,223,,983,740,1723,○,129,,787,746,1533,○,25,,1130,1523,2653,○,177,,872,0,872,○,166,,983,0,983,○,447,,758,0,758,,,,,,,,,,,,,○,670,,758,0,758,,,,,,,,,,,,,○,155,,1099,0,1099,20211101
36,奥村組土木興業（株）,奥村　安正,大阪府大阪市港区三先１－１１－１８,2120001028670,B,15,,1516,1547,3063,A,25,,1362,1450,2812,○,241,,934,0,934,,,,,,,D,27,,1227,0,1227,,,,,,,,,,,,,C,163,,1060,0,1060,○,79,,1117,0,1117,○,153,,1050,0,1050,○,27,,1237,1007,2244,,,,,,,○,166,,1256,930,2186,○,185,,864,0,864,○,89,,1150,0,1150,○,137,,934,0,934,,,,,,,○,116,,990,0,990,,,,,,,,,,,,,,,,,,,○,119,,1150,0,1150,20211101
37,オリエンタル白石（株）,大野　達也,東京都江東区豊洲５－６－５２,7010601040057,B,4,,1629,1573,3202,B,760,,939,0,939,○,75,,1177,678,1855,,,,,,,C,649,,1415,0,1415,,,,,,,,,,,,,C,81,,1189,0,1189,○,170,,939,0,939,○,4,,1583,1799,3382,,,,,,,○,298,,958,0,958,○,34,,1403,1209,2612,,,,,,,○,56,,1320,0,1320,○,63,,1143,0,1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,9,,1600,0,1600,20211101
38,（株）ピーエス三菱,森　拓也,東京都中央区晴海２－５－２４,1010001008742,B,11,,1615,1482,3097,B,688,,1148,0,1148,○,63,,1163,806,1969,B,68,,950,0,950,B,12,,1667,1138,2805,○,59,,1376,0,1376,C,166,,1044,0,1044,C,26,,1303,0,1303,○,58,,1303,0,1303,○,1,,1693,1825,3518,○,374,,1335,0,1335,○,263,,1023,0,1023,○,22,,1436,1261,2697,○,116,,950,0,950,○,53,,1335,0,1335,○,10,,1163,670,1833,,,,,,,○,31,,1305,0,1305,○,325,,1065,0,1065,,,,,,,,,,,,,○,11,,1590,0,1590,20211101
39,（株）福田組,荒明　正紀,新潟県新潟市中央区一番堀通町３－１０,9110001004880,B,特,-04,1568,1774,3342,B,707,,1053,0,1053,○,74,,1049,807,1856,,,,,,,B,26,,1708,991,2699,○,62,,1368,0,1368,,,,,,,C,64,,1221,0,1221,○,100,,1033,0,1033,○,126,,1124,0,1124,○,9,,1361,1117,2478,,,,,,,○,955,,1342,0,1342,○,82,,1122,0,1122,○,66,,1252,0,1252,○,3,,1068,939,2007,,,,,,,○,40,,1257,0,1257,○,330,,1059,0,1059,,,,,,,,,,,,,○,61,,1299,0,1299,20211101
40,（株）本間組,本間　達郎,新潟県新潟市中央区西湊町通三ノ町３３００－３,6110001005155,B,14,,1564,1516,3080,B,719,,1023,0,1023,○,181,,1041,0,1041,B,86,,921,0,921,B,特,-08,1505,1637,3142,○,70,,1328,0,1328,B,146,,1021,1050,2071,C,165,,1059,0,1059,○,114,,1002,0,1002,○,122,,1133,0,1133,○,392,,1234,0,1234,,,,,,,○,276,,1329,716,2045,○,8,,1330,1181,2511,○,50,,1347,0,1347,○,81,,1041,0,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,63,,1297,0,1297,20211101
41,（株）加賀田組,市村　稿,新潟県新潟市中央区万代４丁目５番１５号,1110001001051,B,20,,1421,1555,2976,A,26,,1319,1489,2808,○,200,,1005,0,1005,B,50,,988,0,988,B,27,,1527,1164,2691,○,80,,1269,0,1269,C,242,,963,0,963,C,226,,1000,0,1000,○,69,,1166,0,1166,○,135,,1099,0,1099,○,403,,1183,0,1183,○,261,,1026,0,1026,○,42,,1279,1270,2549,○,88,,1067,0,1067,,,,,,,○,90,,1005,0,1005,,,,,,,○,55,,1173,0,1173,,,,,,,,,,,,,,,,,,,○,107,,1174,0,1174,20211101
