,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
1694,（株）グリーンコンサルタント,5150001007925,奈良県,中小企業,,, 988, ,,,,, 693, ,20191201
1695,グリーンフロント研究所（株）,1180301004458,愛知県,中小企業,,,1087, ,1668, ,,,,,20191201
1696,（株）クリエート山本設計室,8010001015204,東京都,中小企業,,, 444, ,,,,,,,20191201
1697,（株）クリタス,1013301002893,東京都,大企業,,, 546, ,,, 293, ,,,20191201
1698,（株）栗生総合計画事務所,5010001002254,東京都,中小企業,,, 489,-01,,,,,,,20191201
1699,（株）車田建築設計亊務所,7240001003021,広島県,中小企業,,, 177, ,,,,,,,20191201
1700,（株）黒川紀章建築都市設計事務所,2010001165244,東京都,中小企業,,, 591, ,,,,,,,20191201
1701,（株）黒田建築設計事務所,9140001007328,兵庫県,中小企業,,, 206, ,,,,,,,20191201
1702,（株）桑野設計,8320002019040,大分県,中小企業,,, 641, ,,,,,,,20191201
1703,（有）桑山,7140002066366,兵庫県,中小企業,,, 991,-01,1664,-01,,,,,20191201
1704,（有）グン企画設計一級建築士事務所,7011102021100,東京都,中小企業,,, 645, ,,,,,,,20191201
1705,景域計画（株）,7020001105302,神奈川県,中小企業,,,1065, ,1641, ,,,,,20191201
1706,（株）ＫＳＫ,1050001028670,茨城県,中小企業,,,1036, , 811, ,,,,,20191201
1707,（株）Ｋ構造研究所,3240001003058,広島県,中小企業,,, 268, ,,,,,,,20191201
1708,（一財）経済調査会,1010005002667,東京都,公益法人,,, 377, ,  51, ,,,,,20191201
1709,（株）京滋設計,4160001012801,滋賀県,中小企業,,, 399, ,,,,,,,20191201
1710,ケイズアーキテクツ（有）,3140002060967,大阪府,中小企業,,,1073, ,,,,,,,20191201
1711,（株）ケークリエイト,8011101050966,東京都,中小企業,,,1015, ,,,,,,,20191201
1712,（株）ケーネス,8010401009458,東京都,中小企業,,, 824, ,1107, ,,,,,20191201
1713,（株）建設環境コンサルティング,8120001143852,大阪府,中小企業,,, 650, ,1271, , 708, ,,,20191201
1714,（株）ＧＥＮ設計,5260001002270,岡山県,中小企業,,, 253, ,,,,,,,20191201
1715,（一財）建設物価調査会,6010005018675,東京都,公益法人,,, 230, ,  62, ,,,,,20191201
1716,（株）建綜研,3120001063543,大阪府,中小企業,,, 189, ,,,,,,,20191201
