,airconditioning_exception,airconditioning_financial_score,airconditioning_qualification,airconditioning_rank,airconditioning_technical_score,airconditioning_total_score,asphalt_exception,asphalt_financial_score,asphalt_qualification,asphalt_rank,asphalt_technical_score,asphalt_total_score,bridge_exception,bridge_financial_score,bridge_qualification,bridge_rank,bridge_technical_score,bridge_total_score,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_score,bridgemaintenance_technical_score,builiding_exception,builiding_financial_score,builiding_qualification,builiding_rank,builiding_technical_score,builiding_total_score,cement_exception,cement_financial_score,cement_qualification,cement_rank,cement_technical_score,cement_total_score,ceo_name,civilengineering_exception,civilengineering_financial_score,civilengineering_qualification,civilengineering_rank,civilengineering_technical_score,civilengineering_total_score,communication_exception,communication_financial_score,communication_qualification,communication_rank,communication_technical_score,communication_total_score,date,dredging_exception,dredging_financial_score,dredging_qualification,dredging_rank,dredging_technical_score,dredging_total_score,electricity_exception,electricity_financial_score,electricity_qualification,electricity_rank,electricity_technical_score,electricity_total_score,firm_address,firm_id,firm_name,grout_exception,grout_financial_score,grout_qualification,grout_rank,grout_technical_score,grout_total_score,landscaping_exception,landscaping_financial_score,landscaping_qualification,landscaping_rank,landscaping_technical_score,landscaping_total_score,machinery_exception,machinery_financial_score,machinery_qualification,machinery_rank,machinery_technical_score,machinery_total_score,maintenance_exception,maintenance_financial_score,maintenance_qualification,maintenance_rank,maintenance_technical_score,maintenance_total_score,painting_exception,painting_financial_score,painting_qualification,painting_rank,painting_technical_score,painting_total_score,prefab_exception,prefab_financial_score,prefab_qualification,prefab_rank,prefab_technical_score,prefab_total_score,prestressed_exception,prestressed_financial_score,prestressed_qualification,prestressed_rank,prestressed_technical_score,prestressed_total_score,slope_exception,slope_financial_score,slope_qualification,slope_rank,slope_technical_score,slope_total_score,stakeout_exception,stakeout_financial_score,stakeout_qualification,stakeout_rank,stakeout_technical_score,stakeout_total_score,substation_exception,substation_financial_score,substation_qualification,substation_rank,substation_technical_score,substation_total_score,well_exception,well_financial_score,well_qualification,well_rank,well_technical_score,well_total_score,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_technical_score,woodenbuiliding_total_score
3070,,1139,B,47,869,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四方　克弘,,,,,,,,1121,○,259,0,1121,20211201,,,,,,,,1337,B,58,934,2271,東京都目黒区三田１－６－２１　アルト伊藤ビル,7013201017136,オムロンフィールドエンジニアリング（株）,,,,,,,,,,,,,,1121,○,58,1205,2326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134,○,187,0,1134,,,,,,,,,,,,
3071,,795,B,173,631,1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,妹尾　淳,,,,,,,,722,○,565,0,722,20211201,,,,,,,,975,B,215,820,1795,岡山県岡山市北区青江１－１３－５５,3260001005382,（株）橋本電気工業所,,,,,,,,,,,,,,,,,,,,850,○,1206,0,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,○,378,0,850,,,,,,,,,,,,
3072,,1031,C,187,0,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,片倉　達夫,,,,,,,,1725,○,8,1215,2940,20211201,,,,,,,,1460,B,13,1142,2602,東京都中央区銀座８－２１－１　汐留浜離宮ビル,3010001129215,パナソニックシステムソリューションズジャパン（株）,,,,,,,,,,,,,,1026,○,329,0,1026,,1414,○,670,0,1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369,○,119,0,1369,,,,,,,,,,,,
3073,,790,C,621,0,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,林　正憲,,,,,,,,860,○,141,828,1688,20211201,,,,,,,,972,B,153,989,1961,福井県越前市芝原４－５－２２,7210001011869,林電気（株）,,,,,,,,,,,,,,,,,,,,855,○,1181,0,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926,○,303,0,926,,,,,,,,,,,,
3074,,733,C,820,0,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,藤井　純一,,,,,,,,782,○,473,0,782,20211201,,,,,,,,1047,B,188,805,1852,兵庫県神戸市長田区海運町２－５－１１,8140001016684,早水電機工業（株）,,,,,,,,,,,,,,,,,,,,865,○,1141,0,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,○,252,0,1010,,,,,,,,,,,,
3075,,630,C,1122,0,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宗接　和人,,,,,,,,700,○,603,0,700,20211201,,,,,,,,853,B,226,914,1767,兵庫県姫路市西夢前台３－２６,4140001060728,播州電業（株）,,,,,,,,,,,,,,,,,,,,776,○,1524,0,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,○,464,0,797,,,,,,,,,,,,
3076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,向井　伸幸,,,,,,,,700,○,604,0,700,20211201,,,,,,,,923,B,176,969,1892,大阪府大阪市東住吉区西今川１丁目１番２１号,8120001010796,阪神ユニテック（株）,,,,,,,,,,,,,,,,,,,,851,○,662,582,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,○,469,0,794,,,,,,,,,,,,
3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,甘粕　進,,,,,,,,518,○,734,0,518,20211201,,,,,,,,1075,B,165,841,1916,東京都港区芝５－２９－１４,4010401096087,日立三菱水力（株）,,,,,,,,,,,,,,570,○,849,0,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783,○,481,0,783,,,,,,,,,,,,
3078,,1718,A,19,1393,3111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黒田　長裕,,,,,,,,1015,○,302,0,1015,20211201,,,,,,,,1528,B,16,1053,2581,東京都港区三田三丁目５番２７号　住友不動産三田ビル西館１３階,9010401025405,日比谷総合設備（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,,720,C,875,0,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平松　良一,,,,,,,,740,○,529,0,740,20211201,,,,,,,,1062,B,23,1462,2524,岡山県岡山市南区福浜町１３－２８,2260001005680,平松電気工事（株）,,,,,,,,,,,,,,,,,,,,884,○,1066,0,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,○,32,1346,2230,,,,,,,,,,,,
3080,,757,C,727,0,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金本　好男,,,,,,,,734,○,544,0,734,20211201,,,,,,,,979,B,91,1187,2166,広島県三原市城町三丁目９番２２号,1240001039748,広島電気工事（株）,,,,,,,,,,,,,,,,,,,,854,○,1184,0,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,○,56,1069,1984,,,,,,,,,,,,
3081,,945,C,269,0,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,藤井　洋平,,,,,,,,,,,,,20211201,,,,,,,,1200,B,55,1081,2281,兵庫県朝来市山東町末歳７０５－１,3140001046884,藤井電機（株）,,,,,,,,,,,,,,,,,,,,1036,○,883,0,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,○,36,1047,2147,,,,,,,,,,,,
3082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,志真　哲夫,,,,,,,,1455,○,19,1290,2745,20211201,,,,,,,,1193,B,47,1139,2332,神奈川県横浜市西区高島１－１－２,7020001077145,富士通ネットワークソリューションズ（株）,,,,,,,,,,,,,,,,,,,,1092,○,843,0,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167,○,62,768,1935,,,,,,,,,,,,
3083,,885,C,373,0,885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,藤本　修久,,,,,,,,777,○,479,0,777,20211201,,,,,,,,1034,B,211,764,1798,山口県岩国市昭和町２丁目５番２４号,8250001011617,（株）フジテクノ,,,,,,,,,,,,,,729,○,661,0,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有冨　英治,,,,,,,,1297,○,28,1340,2637,20211201,,,,,,,,992,B,151,974,1966,東京都中央区築地５－４－１８　汐留イーストサイドビル,6010001055706,扶桑電通（株）,,,,,,,,,,,,,,,,,,,,905,○,1025,0,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,○,292,0,937,,,,,,,,,,,,
3085,,1640,A,38,1038,2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山形　明夫,,,,,,,,1405,○,191,0,1405,20211201,,,,,,,,1266,B,156,686,1952,東京都品川区上大崎２－１０－４３,3010701008973,ホーチキ（株）,,,,,,,,,,,,,,1002,○,136,870,1872,,1184,○,777,0,1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,,731,C,827,0,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,濱田　修,,,,,,,,,,,,,20211201,,,,,,,,927,B,233,824,1751,鳥取県米子市夜見町３０７９－１７,8270001003562,（株）ホクシン,,,,,,,,,,,,,,781,○,566,0,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3087,,1268,C,36,0,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早川　信之,,,,,,,,1334,○,9,1595,2929,20211201,,,,,,,,1157,B,62,1100,2257,石川県金沢市問屋町１－６５,6220001006381,（株）ほくつう,,,,,,,,,,,,,,,,,,,,1125,○,817,0,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152,○,37,985,2137,,,,,,,,,,,,
3088,,823,C,516,0,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岡崎　寛,,,,,,,,874,○,382,0,874,20211201,,,,,,,,1016,B,214,779,1795,島根県益田市遠田町１９１６－４,7280001005105,北陽電気工事（株）,,,,,,,,,,,,,,,,,,,,941,○,969,0,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967,○,82,746,1713,,,,,,,,,,,,
3089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,片山　義博,,,,,,,,,,,,,20211201,,,,,,,,853,B,185,1015,1868,鳥取県鳥取市湖山町東４丁目９８－２,9270002001408,北陽電業（有）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮村　幸一,,,,,,,,731,○,552,0,731,20211201,,,,,,,,986,B,177,903,1889,山口県周南市古川町２－４５,6250001010091,星電気工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091,,815,C,545,0,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,柏　太輔,,,,,,,,795,○,157,757,1552,20211201,,,,,,,,980,B,83,1222,2202,愛知県名古屋市東区東桜２－３－２２,6180001016385,カシワギ電気（株）,,,,,,,,,,,,,,,,,,,,959,○,938,0,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,○,283,0,948,,,,,,,,,,,,
3092,,1122,C,103,0,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本橋　伸幸,,,,,,,,1119,○,101,809,1928,20211201,,,,,,,,1274,B,115,817,2091,東京都中央区晴海１－８－１２トリトンスクエアＺ棟,7010401007116,（株）カナデン,,,,,,,,,,,,,,1059,○,313,0,1059,,1133,○,812,0,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335,○,124,0,1335,,,,,,,,,,,,
