,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,date
10,（株）熊谷組,櫻野　泰則,東京都新宿区津久戸町２－１,1210001001082,A,12,,1887,1904,3791,B,350,,1207,0,1207,○,114,,1398,0,1398,B,18,,1211,0,1211,A,9,,1915,1917,3832,○,34,,1492,0,1492,C,128,,1280,0,1280,C,42,,1293,0,1293,○,56,,1207,0,1207,○,34,,1567,760,2327,○,238,,1591,0,1591,○,241,,1018,0,1018,○,26,,1626,1063,2689,○,82,,1212,0,1212,○,8,,1425,794,2219,○,30,,1326,0,1326,,,,,,,○,24,,1437,0,1437,○,230,,1373,0,1373,○,65,,1329,879,2208,○,150,,1213,0,1213,20191216
11,（株）鴻池組,蔦田　守弘,大阪府大阪市中央区北久宝寺町３－６－１,5120001026309,A,11,,1819,1997,3816,B,387,,1022,0,1022,○,121,,1335,0,1335,B,55,,987,0,987,A,11,,1890,1888,3778,○,28,,1540,0,1540,C,124,,1289,0,1289,B,21,,1461,731,2192,○,101,,1000,0,1000,○,30,,1466,1006,2472,○,25,,1484,866,2350,○,213,,1099,0,1099,○,613,,1571,0,1571,○,90,,1121,0,1121,○,44,,1388,0,1388,○,28,,1335,0,1335,,,,,,,○,26,,1412,0,1412,○,289,,1133,0,1133,○,280,,1018,0,1018,○,123,,1312,0,1312,20191216
12,五洋建設（株）,清水　琢三,東京都文京区後楽２－２－８,1010001000006,A,10,,1958,1891,3849,B,343,,1325,0,1325,○,44,,1480,583,2063,B,29,,1115,0,1115,A,3,,1930,2068,3998,○,32,,1510,0,1510,C,116,,1315,0,1315,C,29,,1335,0,1335,○,42,,1412,0,1412,○,23,,1509,1326,2835,○,15,,1580,868,2448,○,223,,1056,0,1056,○,9,,1641,1356,2997,○,5,,1681,1066,2747,○,27,,1651,0,1651,○,41,,1215,0,1215,,,,,,,,,,,,,○,210,,1511,0,1511,,,,,,,,,,,,,20191216
13,前田建設工業（株）,前田　操治,東京都千代田区富士見２－１０－２,4010001008789,A,5,,1963,2060,4023,B,346,,1265,0,1265,○,104,,1488,0,1488,B,11,,1323,0,1323,A,32,,1965,1209,3174,○,10,,1710,0,1710,B,118,,1345,694,2039,C,7,,1450,0,1450,○,61,,1181,0,1181,○,16,,1613,1455,3068,○,14,,1553,907,2460,,,,,,,○,531,,1679,0,1679,○,83,,1196,0,1196,○,37,,1485,0,1485,○,23,,1464,0,1464,,,,,,,○,9,,1779,0,1779,○,99,,1341,690,2031,,,,,,,○,119,,1333,0,1333,20191216
14,三井住友建設（株）,新井　英雄,東京都中央区佃２－１－６,2010001131477,A,13,,1910,1870,3780,B,363,,1143,0,1143,○,120,,1348,0,1348,B,40,,1068,0,1068,A,23,,1932,1357,3289,○,24,,1588,0,1588,C,136,,1252,0,1252,B,184,,1486,0,1486,○,71,,1094,0,1094,○,1,,1782,1947,3729,○,27,,1459,872,2331,○,215,,1094,0,1094,○,57,,1647,846,2493,○,89,,1143,0,1143,○,29,,1607,0,1607,○,24,,1419,0,1419,,,,,,,○,18,,1531,0,1531,○,219,,1461,0,1461,○,205,,1329,0,1329,○,153,,1204,0,1204,20191216
15,西松建設（株）,高瀬　伸利,東京都港区虎ノ門１－２３－１,8010401021454,A,4,,1939,2103,4042,B,348,,1229,0,1229,○,124,,1308,0,1308,B,22,,1174,0,1174,A,16,,1953,1555,3508,○,23,,1603,0,1603,C,141,,1237,0,1237,A,50,,1410,1138,2548,○,51,,1229,0,1229,○,33,,1450,891,2341,○,231,,1604,0,1604,○,190,,1241,0,1241,○,510,,1698,0,1698,○,80,,1230,0,1230,○,3,,1570,818,2388,○,32,,1308,0,1308,,,,,,,○,22,,1475,0,1475,○,229,,1379,0,1379,○,220,,1248,0,1248,○,120,,1329,0,1329,20191216
16,佐藤工業（株）,宮本　雅文,東京都中央区日本橋本町４－１２－１９,2230001001055,A,19,,1738,1842,3580,B,377,,1070,0,1070,○,136,,1215,0,1215,B,45,,1031,0,1031,A,22,,1764,1553,3317,○,44,,1367,0,1367,C,146,,1222,0,1222,C,34,,1323,0,1323,○,85,,1049,0,1049,○,29,,1337,1156,2493,○,48,,1329,862,2191,○,222,,1058,0,1058,○,297,,1384,594,1978,○,84,,1188,0,1188,○,54,,1327,0,1327,○,42,,1215,0,1215,,,,,,,○,32,,1327,0,1327,○,303,,1095,0,1095,,,,,,,○,174,,1123,0,1123,20191216
17,清水建設（株）,井上　和幸,東京都中央区京橋２－１６－１,1010401013565,A,8,,2012,1937,3949,B,360,,1160,0,1160,○,96,,1549,0,1549,B,17,,1216,0,1216,A,7,,2042,1839,3881,○,6,,1758,0,1758,C,57,,1588,0,1588,A,56,,1686,771,2457,○,48,,1254,0,1254,○,13,,1708,1500,3208,○,204,,1696,0,1696,○,116,,1560,0,1560,○,476,,1741,0,1741,○,69,,1402,0,1402,○,22,,1738,0,1738,○,21,,1486,0,1486,○,35,,1068,0,1068,○,16,,1564,0,1564,○,175,,1684,0,1684,○,182,,1479,0,1479,○,91,,1519,0,1519,20191216
18,（株）錢高組,銭高　久善,大阪府大阪市西区西本町２－２－４,5120001049004,A,30,,1622,1746,3368,B,419,,939,0,939,○,65,,1172,597,1769,B,57,,981,0,981,A,8,,1754,2087,3841,○,55,,1300,0,1300,C,241,,1022,0,1022,C,66,,1233,0,1233,○,152,,934,0,934,○,14,,1435,1713,3148,○,320,,1316,0,1316,,,,,,,○,806,,1265,0,1265,○,122,,931,0,931,○,65,,1265,0,1265,○,112,,953,0,953,,,,,,,○,36,,1300,0,1300,,,,,,,,,,,,,,,,,,,20191216
19,大成建設（株）,村田　誉之,東京都新宿区西新宿１－２５－１,4011101011880,A,6,,2023,1996,4019,B,319,,1473,0,1473,○,80,,1670,0,1670,B,10,,1328,0,1328,A,14,,2043,1601,3644,○,11,,1705,0,1705,B,239,,1734,0,1734,A,33,,1728,961,2689,○,39,,1439,0,1439,○,8,,1779,1577,3356,○,221,,1631,0,1631,○,181,,1290,0,1290,○,11,,1791,1199,2990,○,64,,1444,0,1444,○,25,,1695,0,1695,○,13,,1633,0,1633,,,,,,,○,11,,1647,0,1647,○,189,,1599,0,1599,○,171,,1518,0,1518,○,78,,1583,0,1583,20191216
