,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,pipe_qualification,pipe_rank,pipe_exception,pipe_financial_score,pipe_technical_score,pipe_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,waterproof_qualification,waterproof_rank,waterproof_exception,waterproof_financial_score,waterproof_technical_score,waterproof_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,others_qualification,others_rank,others_exception,others_financial_score,others_technical_score,others_total_score,date
18,（株）橋本川島コーポレーション,橋本　毅,北海道旭川市旭町２条７－１２－９０,25-00001,A,55,,1225,1080,2305,B,158,,1172,243,1415,A,21,,1152,893,2045,○,31,,962,467,1429,○,100,,1028,0,1028,,,,,,,,,,,,,B,568,,871,0,871,,,,,,,○,264,,817,0,817,○,223,,801,0,801,○,55,,814,0,814,,,,,,,,,,,,,○,31,,1097,673,1770,,,,,,,20210401
19,藤・勇　経常ＪＶ,藤田　隆明,北海道稚内市港５－５－１５,59-00925,A,45,,1238,1099,2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
20,（株）フジタ,奥村　洋治,東京都渋谷区千駄ヶ谷４－２５－２,11-01326,A,28,,1904,593,2497,A,19,,2050,0,2050,B,103,,1349,0,1349,○,33,,1425,0,1425,○,15,,1636,0,1636,○,51,,1160,0,1160,○,63,,1379,0,1379,A,34,,1615,0,1615,A,160,,1427,0,1427,○,37,,1285,0,1285,○,18,,1374,0,1374,○,2,,1219,0,1219,,,,,,,○,10,,1519,0,1519,○,69,,1654,0,1654,,,,,,,20210401
21,（株）不動テトラ,奥田　眞也,東京都中央区日本橋小網町７－２,11-00072,A,30,,1641,823,2464,B,273,,1195,0,1195,B,194,,1049,0,1049,○,78,,1160,0,1160,○,50,,1279,0,1279,○,23,,1277,260,1537,,,,,,,A,157,,1203,0,1203,,,,,,,○,219,,857,0,857,○,96,,1011,0,1011,,,,,,,,,,,,,○,49,,1228,0,1228,,,,,,,,,,,,,20210401
22,北土開発・大北土建　経常ＪＶ,山田　朝常,北海道河西郡芽室町東６条１０－１－１,59-00911,A,63,,1214,1038,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
23,北土建設（株）,砂田　英俊,北海道札幌市中央区南１０条西１４－１－１８,21-00325,A,66,,1173,1059,2232,C,862,,867,0,867,B,403,,842,0,842,○,252,,867,0,867,○,180,,899,0,899,○,154,,812,0,812,,,,,,,B,366,,960,0,960,,,,,,,,,,,,,○,219,,804,0,804,,,,,,,,,,,,,○,129,,964,0,964,○,530,,964,0,964,,,,,,,20210401
24,（株）堀口組,堀口　哲志,北海道留萌市高砂町１－４－１５,30-00012,A,50,,1224,1092,2316,C,604,,948,0,948,B,435,,822,0,822,○,165,,948,0,948,○,132,,954,0,954,○,135,,855,0,855,,,,,,,C,896,,780,0,780,,,,,,,,,,,,,○,243,,790,0,790,,,,,,,,,,,,,○,99,,1018,0,1018,○,43,,894,822,1716,,,,,,,20210401
25,堀松・白崎　経常ＪＶ,堀松　一郎,北海道留萌市住之江町１－５２,59-00918,A,47,,1251,1079,2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
26,堀松・富士サルベージ　経常ＪＶ,堀松　一郎,北海道留萌市住之江町１－５２,59-00917,A,67,,1225,990,2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
27,堀松建設工業（株）,堀松　一郎,北海道留萌市住之江町１－５２,30-00009,A,58,,1191,1094,2285,B,45,,1109,741,1850,B,641,,757,0,757,○,206,,905,0,905,○,55,,923,317,1240,○,8,,1019,921,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,116,,984,0,984,,,,,,,,,,,,,20210401
28,鹿島建設（株）,押味　至一,東京都港区元赤坂１－３－１,11-00082,A,3,,2022,1004,3026,A,2,,2042,1380,3422,B,94,,1399,0,1399,○,36,,1411,0,1411,○,9,,1732,419,2151,○,29,,1398,0,1398,○,44,,1514,0,1514,A,67,,1432,0,1432,A,132,,1518,0,1518,○,51,,1194,0,1194,○,65,,1094,0,1094,○,9,,1105,0,1105,○,5,,1069,0,1069,○,7,,1544,0,1544,,,,,,,,,,,,,20210401
29,草野作工（株）,草野　貴友,北海道江別市上江別西町１６番地,22-00131,A,61,,1164,1096,2260,D,1340,,761,0,761,B,317,,896,0,896,○,388,,761,0,761,○,190,,895,0,895,,,,,,,○,412,,761,0,761,C,998,,758,0,758,,,,,,,,,,,,,○,297,,761,0,761,,,,,,,,,,,,,,,,,,,○,541,,959,0,959,,,,,,,20210401
30,（株）熊谷組,櫻野　泰則,東京都新宿区津久戸町２－１,11-00118,A,10,,1863,952,2815,B,39,,1872,0,1872,B,147,,1163,0,1163,○,40,,1362,0,1362,○,18,,1578,0,1578,○,48,,1168,0,1168,○,103,,1243,0,1243,A,152,,1213,0,1213,B,228,,1290,0,1290,○,136,,963,0,963,○,42,,1160,0,1160,○,21,,977,0,977,,,,,,,○,23,,1385,0,1385,○,115,,1576,0,1576,,,,,,,20210401
31,（株）鴻池組,渡津　弘己,大阪府大阪市中央区北久宝寺町３－６－１,11-00304,A,23,,1840,710,2550,B,35,,1909,0,1909,B,170,,1091,0,1091,○,43,,1331,0,1331,○,21,,1479,0,1479,○,82,,1004,0,1004,○,129,,1183,0,1183,A,46,,1522,0,1522,B,211,,1315,0,1315,○,78,,1065,0,1065,○,88,,1019,0,1019,○,14,,1035,0,1035,,,,,,,○,19,,1407,0,1407,○,100,,1597,0,1597,,,,,,,20210401
32,こぶし建設（株）,永田　隆一,北海道岩見沢市志文町９６６ー１５,22-00377,A,46,,1202,1129,2331,,,,,,,B,540,,787,0,787,○,227,,889,0,889,○,155,,920,0,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,498,,987,0,987,,,,,,,20210401
33,五洋建設（株）,清水　琢三,東京都文京区後楽２－２－８,11-00017,A,13,,1907,797,2704,A,3,,1879,1200,3079,B,96,,1388,0,1388,○,10,,1464,591,2055,○,23,,1473,0,1473,○,3,,1591,849,2440,○,49,,1466,0,1466,A,120,,1290,0,1290,A,159,,1431,0,1431,○,116,,987,0,987,○,70,,1067,0,1067,,,,,,,,,,,,,○,6,,1606,0,1606,○,127,,1554,0,1554,,,,,,,20210401
34,前田建設工業（株）,前田　操治,東京都千代田区富士見２－１０－２,11-00178,A,14,,1965,733,2698,B,29,,1969,0,1969,B,117,,1297,0,1297,○,29,,1512,0,1512,○,16,,1634,0,1634,○,35,,1333,0,1333,○,66,,1372,0,1372,A,41,,1554,0,1554,A,150,,1462,0,1462,,,,,,,○,16,,1415,0,1415,,,,,,,,,,,,,○,12,,1487,0,1487,○,68,,1655,0,1655,,,,,,,20210401
35,（株）松本組,大越　雄司,北海道函館市吉川町４－３０,23-00063,A,39,,1206,1198,2404,C,346,,1118,0,1118,B,525,,794,0,794,○,194,,919,0,919,○,139,,938,0,938,○,181,,773,0,773,,,,,,,B,253,,1051,0,1051,,,,,,,,,,,,,○,273,,773,0,773,,,,,,,,,,,,,○,106,,1001,0,1001,○,16,,1062,779,1841,,,,,,,20210401
36,三井住友建設（株）,新井　英雄,東京都中央区佃２－１－６,11-00003,A,17,,1848,822,2670,B,41,,1865,0,1865,B,212,,1021,0,1021,○,34,,1423,0,1423,○,1,,1732,1087,2819,○,60,,1124,0,1124,○,73,,1338,0,1338,A,62,,1454,0,1454,B,256,,1253,0,1253,○,71,,1095,0,1095,○,97,,1007,0,1007,○,18,,982,0,982,,,,,,,○,13,,1478,0,1478,○,106,,1588,0,1588,,,,,,,20210401
37,宮坂建設工業（株）,宮坂　寿文,北海道帯広市西４条南８－１２,28-00076,A,12,,1395,1377,2772,A,17,,1418,654,2072,B,325,,890,0,890,○,30,,1153,293,1446,○,103,,1021,0,1021,○,150,,823,0,823,○,189,,1071,0,1071,B,378,,949,0,949,,,,,,,○,259,,823,0,823,○,205,,823,0,823,,,,,,,,,,,,,○,74,,1106,0,1106,○,69,,1106,548,1654,,,,,,,20210401
38,みらい・豊浦　経常ＪＶ,小西　武,東京都港区芝４丁目６番１２号,59-00939,A,31,,1505,958,2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
39,みらい建設工業（株）,小西　武,東京都港区芝４丁目６番１２号,11-00030,A,26,,1506,1014,2520,C,333,,1131,0,1131,B,255,,948,0,948,○,203,,907,0,907,○,95,,1053,0,1053,○,13,,1309,542,1851,,,,,,,,,,,,,,,,,,,○,276,,810,0,810,,,,,,,,,,,,,,,,,,,○,63,,1154,0,1154,,,,,,,,,,,,,20210401
40,（株）森川組,森川　基嗣,北海道函館市海岸町９－２３,23-00096,A,68,,1149,1059,2208,B,264,,1202,0,1202,B,497,,802,0,802,○,89,,973,141,1114,○,168,,908,0,908,○,120,,886,0,886,○,272,,913,0,913,B,467,,902,0,902,,,,,,,○,355,,757,0,757,○,276,,772,0,772,○,76,,757,0,757,,,,,,,○,126,,966,0,966,○,526,,966,0,966,,,,,,,20210401
41,中山・笹田　経常ＪＶ,中山　茂,北海道札幌市東区北１９条東１－１－１,59-00946,A,27,,1441,1060,2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
42,中山・三ッ輪　経常ＪＶ,中山　茂,北海道札幌市東区北１９条東１－１－１,59-00936,A,25,,1435,1089,2524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
43,（株）中山組,中山　茂,北海道札幌市東区北１９条東１－１－１,21-00239,A,11,,1457,1348,2805,B,149,,1441,0,1441,B,271,,934,0,934,○,111,,1055,0,1055,○,89,,1075,0,1075,○,128,,867,0,867,,,,,,,B,233,,1075,0,1075,,,,,,,,,,,,,○,173,,867,0,867,,,,,,,,,,,,,○,61,,1162,0,1162,○,362,,1162,0,1162,,,,,,,20210401
44,西江建設（株）,西江　靖幸,北海道帯広市西４条北２－２０,28-00020,A,64,,1195,1051,2246,C,712,,912,0,912,B,686,,748,0,748,○,198,,912,0,912,○,162,,913,0,913,○,214,,748,0,748,○,426,,748,0,748,C,1043,,748,0,748,,,,,,,,,,,,,○,290,,763,0,763,○,90,,748,0,748,,,,,,,○,118,,980,0,980,,,,,,,,,,,,,20210401
45,西松建設（株）,高瀬　伸利,東京都港区虎ノ門１－１７－１,11-00090,A,5,,1882,1018,2900,B,37,,1888,0,1888,B,146,,1165,0,1165,○,65,,1187,0,1187,○,30,,1407,0,1407,○,50,,1163,0,1163,○,76,,1323,0,1323,A,83,,1368,0,1368,B,275,,1221,0,1221,○,53,,1171,0,1171,○,54,,1122,0,1122,○,4,,1186,0,1186,,,,,,,○,8,,1539,0,1539,○,88,,1620,0,1620,,,,,,,20210401
46,（株）西村組,西村　幸浩,北海道紋別郡湧別町栄町１３３－１,29-00003,A,34,,1315,1126,2441,C,405,,1061,0,1061,B,214,,1015,0,1015,○,154,,969,0,969,○,99,,1029,0,1029,○,6,,1161,960,2121,,,,,,,B,510,,885,0,885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,75,,1095,0,1095,○,161,,1095,430,1525,,,,,,,20210401
47,りんかい日産・山口　経常ＪＶ,山口　竹彦,東京都港区芝２－３－８,59-00926,A,36,,1542,884,2426,,,,,,,,,,,,,,,,,,,,,,,,,○,16,,1297,359,1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
48,りんかい日産建設（株）,山口　竹彦,東京都港区芝２－３－８,11-00036,A,54,,1537,773,2310,A,8,,1510,938,2448,B,186,,1059,0,1059,○,126,,1035,0,1035,○,88,,1080,0,1080,○,7,,1297,718,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,56,,1181,0,1181,○,306,,1256,0,1256,,,,,,,20210401
49,齊藤建設（株）,齊藤　大介,北海道函館市田家町１５－１２,23-00012,A,50,,1196,1120,2316,C,438,,1040,0,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
50,佐藤工業（株）,宮本　雅文,東京都中央区日本橋本町４－１２－１９,11-00154,A,22,,1671,897,2568,B,59,,1726,0,1726,B,219,,1004,0,1004,○,82,,1149,0,1149,○,50,,1279,0,1279,○,89,,971,0,971,○,207,,1030,0,1030,A,199,,1119,0,1119,B,373,,1104,0,1104,○,102,,1008,0,1008,○,121,,944,0,944,○,19,,981,0,981,,,,,,,○,39,,1267,0,1267,○,252,,1370,0,1370,,,,,,,20210401
51,清水建設（株）,井上　和幸,東京都中央区京橋２－１６－１,11-00283,A,4,,2014,980,2994,A,20,,2044,0,2044,B,135,,1215,0,1215,○,25,,1580,0,1580,○,3,,1710,937,2647,○,27,,1423,0,1423,○,27,,1644,0,1644,A,26,,1709,0,1709,A,96,,1656,0,1656,○,19,,1547,0,1547,○,38,,1212,0,1212,○,1,,1598,0,1598,○,4,,1071,0,1071,○,5,,1683,0,1683,○,87,,1621,0,1621,,,,,,,20210401
52,白崎・機械開発北旺・北興　経常ＪＶ,白崎　義章,北海道釧路市城山１－１０－５,59-00933,A,60,,1229,1045,2274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
53,新谷建設（株）,新谷　龍一郎,北海道旭川市６条通３－右１０,25-00116,A,48,,1154,1167,2321,C,375,,1089,0,1089,B,946,,701,0,701,○,200,,910,0,910,○,166,,910,0,910,○,299,,697,0,697,,,,,,,C,1328,,697,0,697,,,,,,,○,508,,693,0,693,○,462,,707,0,707,○,131,,696,0,696,,,,,,,○,156,,934,0,934,○,603,,934,0,934,,,,,,,20210401
54,菅原・勇　経常ＪＶ,菅原　修,北海道函館市浅野町４－１６,59-00919,A,48,,1262,1059,2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210401
55,（株）砂子組,砂子　邦弘,北海道空知郡奈井江町字チャシュナイ９８７－１０,22-00195,A,39,,1238,1166,2404,B,47,,1231,582,1813,B,505,,801,0,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,850,,854,0,854,,,,,,,20210401
56,（株）泰進建設,戸井　宣夫,北海道札幌市中央区北２条東２ー１ー１６,22-00167,A,65,,1161,1082,2243,B,259,,1207,0,1207,B,435,,822,0,822,○,182,,928,0,928,○,148,,928,0,928,○,204,,755,0,755,○,421,,755,0,755,B,394,,943,0,943,B,752,,845,0,845,○,267,,814,0,814,○,316,,755,0,755,○,69,,771,0,771,,,,,,,○,120,,974,0,974,○,39,,883,848,1731,,,,,,,20210401
57,大成建設（株）,相川　喜郎,東京都新宿区西新宿１－２５－１,11-00126,A,1,,2050,1057,3107,A,18,,2070,0,2070,B,85,,1481,0,1481,○,22,,1671,0,1671,○,10,,1790,340,2130,○,24,,1493,0,1493,○,30,,1620,0,1620,A,16,,1779,0,1779,A,81,,1716,0,1716,○,31,,1338,0,1338,○,17,,1401,0,1401,○,5,,1172,0,1172,,,,,,,○,3,,1731,0,1731,○,19,,1820,0,1820,,,,,,,20210401
58,タカハタ建設（株）,谷地元　憲次,北海道旭川市本町３－４３７－２３９,25-00042,A,56,,1192,1102,2294,B,209,,1071,230,1301,B,646,,756,0,756,○,53,,997,240,1237,○,157,,917,0,917,○,202,,756,0,756,,,,,,,C,1005,,756,0,756,,,,,,,,,,,,,○,314,,756,0,756,,,,,,,,,,,,,○,117,,982,0,982,○,501,,982,0,982,,,,,,,20210401
59,（株）竹中土木,竹中　康一,東京都江東区新砂１－１－１,11-00380,A,24,,1815,734,2549,B,247,,1231,0,1231,B,135,,1215,0,1215,,,,,,,○,32,,1382,0,1382,○,63,,1109,0,1109,○,165,,1114,0,1114,A,137,,1241,0,1241,B,361,,1114,0,1114,,,,,,,○,41,,1173,0,1173,,,,,,,,,,,,,,,,,,,○,264,,1346,0,1346,,,,,,,20210401
60,（株）田中組,松村　敏文,北海道札幌市中央区北６条西１７－１７－５,21-00212,A,38,,1264,1145,2409,A,11,,1308,1105,2413,B,353,,870,0,870,○,54,,943,288,1231,○,131,,960,0,960,○,133,,860,0,860,,,,,,,B,473,,899,0,899,,,,,,,○,267,,814,0,814,○,222,,802,0,802,○,42,,862,0,862,,,,,,,○,98,,1031,0,1031,○,458,,1031,0,1031,,,,,,,20210401
61,（株）玉川組,玉川　裕一,北海道恵庭市相生町２３１,22-00861,A,52,,1244,1070,2314,B,281,,1185,0,1185,A,14,,1208,994,2202,○,169,,942,0,942,,,,,,,,,,,,,,,,,,,B,479,,896,0,896,,,,,,,○,191,,884,0,884,,,,,,,○,56,,810,0,810,,,,,,,,,,,,,○,72,,908,742,1650,,,,,,,20210401
62,大豊建設（株）,大隅　健一,東京都中央区新川１－２４－４,11-00162,A,57,,1677,611,2288,B,89,,1657,0,1657,B,347,,872,0,872,○,143,,989,0,989,○,57,,1238,0,1238,○,127,,872,0,872,,,,,,,A,105,,1327,0,1327,B,466,,994,0,994,,,,,,,○,170,,872,0,872,,,,,,,,,,,,,○,40,,1258,0,1258,○,251,,1371,0,1371,,,,,,,20210401
