,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,pipe_qualification,pipe_rank,pipe_exception,pipe_financial_score,pipe_technical_score,pipe_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,waterproof_qualification,waterproof_rank,waterproof_exception,waterproof_financial_score,waterproof_technical_score,waterproof_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,others_qualification,others_rank,others_exception,others_financial_score,others_technical_score,others_total_score,date
0,あおみ・道南綜合・濱谷　経常ＪＶ,河邊　知之,東京都港区海岸３－１８－２１,59-00824,A,31,,1555,925,2480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200121
1,あおみ建設（株）,河邊　知之,東京都港区海岸３－１８－２１,11-00138,A,26,,1617,931,2548,C,323,,1139,0,1139,B,254,,957,0,957,○,97,,1089,0,1089,○,69,,1160,0,1160,○,3,,1378,1015,2393,,,,,,,A,163,,1201,0,1201,,,,,,,,,,,,,○,139,,917,0,917,,,,,,,,,,,,,,,,,,,○,311,,1261,0,1261,,,,,,,20200121
2,荒井・丸彦渡辺　経常ＪＶ,荒井　保明,北海道旭川市４条西２－２－２,59-00886,A,51,,1321,990,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200121
3,荒井建設（株）,荒井　保明,北海道旭川市４条西２－２－２,25-00197,A,36,,1275,1165,2440,B,238,,1248,0,1248,A,34,,1159,806,1965,○,53,,1077,179,1256,,,,,,,,,,,,,,,,,,,B,517,,880,0,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,86,,1045,0,1045,○,446,,1045,0,1045,,,,,,,20200121
4,（株）安藤・間,福富　正人,東京都港区赤坂６－１－２０,11-02526,A,11,,1968,814,2782,A,16,,2089,0,2089,B,101,,1418,0,1418,○,37,,1417,0,1417,○,18,,1598,0,1598,○,42,,1344,0,1344,○,56,,1421,0,1421,A,33,,1619,0,1619,A,156,,1440,0,1440,○,50,,1201,0,1201,○,27,,1277,0,1277,○,8,,1104,0,1104,,,,,,,○,8,,1573,0,1573,○,151,,1564,0,1564,○,3,,1051,0,1051,20200121
5,勇・酒井　経常ＪＶ,坂　昭弘,北海道札幌市中央区北６条西１４－４,59-00851,A,57,,1236,1046,2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200121
6,勇・真壁・本田　経常ＪＶ,坂　昭弘,北海道札幌市中央区北６条西１４－４,59-00852,A,67,,1248,978,2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200121
7,勇建設（株）,坂　昭弘,北海道札幌市中央区北６条西１４－４,21-00209,A,50,,1207,1105,2312,,,,,,,B,372,,857,0,857,○,152,,884,102,986,○,137,,942,0,942,○,51,,924,300,1224,,,,,,,B,344,,968,0,968,,,,,,,,,,,,,○,254,,788,0,788,,,,,,,,,,,,,○,98,,1004,0,1004,○,500,,1004,0,1004,,,,,,,20200121
8,伊藤・アスワン　経常ＪＶ,玉木　勝美,北海道札幌市中央区北四条西４－１,59-00865,A,46,,1379,971,2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200121
9,伊藤組土建（株）,玉木　勝美,北海道札幌市中央区北四条西４－１,21-00092,A,24,,1366,1228,2594,B,35,,1397,559,1956,B,392,,848,0,848,○,67,,1002,175,1177,○,117,,973,0,973,○,209,,766,0,766,○,224,,1002,0,1002,B,347,,967,0,967,B,379,,1065,0,1065,○,246,,817,0,817,○,252,,789,0,789,○,34,,889,0,889,,,,,,,○,82,,1056,0,1056,○,440,,1056,0,1056,○,76,,766,0,766,20200121
