,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,pipe_qualification,pipe_rank,pipe_exception,pipe_financial_score,pipe_technical_score,pipe_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,waterproof_qualification,waterproof_rank,waterproof_exception,waterproof_financial_score,waterproof_technical_score,waterproof_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,others_qualification,others_rank,others_exception,others_financial_score,others_technical_score,others_total_score,date
0,あおみ・道南綜合・濱谷　経常ＪＶ,河邊　知之,東京都千代田区外神田二丁目２－３,59-00941,A,36,,1517,923,2440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210721
1,あおみ建設（株）,河邊　知之,東京都千代田区外神田二丁目２－３,11-00138,A,34,,1583,861,2444,C,338,,1130,0,1130,B,260,,947,0,947,○,99,,1085,0,1085,○,73,,1151,0,1151,○,5,,1386,961,2347,,,,,,,A,164,,1197,0,1197,,,,,,,,,,,,,○,147,,908,0,908,,,,,,,,,,,,,○,45,,1247,0,1247,○,314,,1247,0,1247,,,,,,,20210721
2,荒井建設（株）,荒井　保明,北海道旭川市４条西２－２－２,25-00197,A,42,,1227,1149,2376,B,258,,1214,0,1214,A,33,,1114,825,1939,○,49,,1001,272,1273,,,,,,,,,,,,,,,,,,,C,865,,791,0,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,108,,998,0,998,○,489,,998,0,998,,,,,,,20210721
3,（株）安藤・間,福富　正人,東京都港区赤坂６－１－２０,11-02526,A,18,,1913,733,2646,B,33,,1932,0,1932,B,139,,1209,0,1209,○,47,,1283,0,1283,○,19,,1546,0,1546,○,50,,1202,0,1202,○,93,,1279,0,1279,A,54,,1500,0,1500,B,207,,1327,0,1327,○,49,,1203,0,1203,○,40,,1200,0,1200,○,8,,1113,0,1113,,,,,,,○,14,,1440,0,1440,○,217,,1435,0,1435,,,,,,,20210721
4,勇・酒井　経常ＪＶ,坂　昭弘,北海道札幌市中央区北６条西１４－４,59-00942,A,54,,1235,1077,2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210721
5,勇・真壁・本田　経常ＪＶ,坂　昭弘,北海道札幌市中央区北６条西１４－４,59-00943,A,66,,1250,1009,2259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210721
6,勇建設（株）,坂　昭弘,北海道札幌市中央区北６条西１４－４,21-00209,A,45,,1201,1149,2350,,,,,,,B,334,,884,0,884,○,241,,875,0,875,○,145,,933,0,933,○,31,,985,447,1432,,,,,,,B,558,,875,0,875,,,,,,,,,,,,,○,268,,778,0,778,,,,,,,,,,,,,○,109,,996,0,996,○,491,,996,0,996,,,,,,,20210721
7,伊藤・アスワン　経常ＪＶ,玉木　勝美,北海道札幌市中央区北四条西４－１,59-00945,A,38,,1397,1023,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210721
8,伊藤組土建（株）,玉木　勝美,北海道札幌市中央区北四条西４－１,21-00092,A,15,,1421,1267,2688,A,6,,1455,1217,2672,B,334,,884,0,884,○,37,,1175,232,1407,○,100,,1028,0,1028,○,157,,821,0,821,○,134,,1174,0,1174,B,321,,1000,0,1000,B,324,,1161,0,1161,○,217,,863,0,863,○,199,,829,0,829,○,36,,902,0,902,,,,,,,○,73,,1113,0,1113,○,402,,1113,0,1113,,,,,,,20210721
9,岩倉建設（株）,鈴木　泰至,北海道札幌市中央区南一条西７－１６－２,26-00157,A,20,,1323,1271,2594,B,211,,1296,0,1296,B,433,,826,0,826,○,44,,1055,257,1312,○,29,,970,458,1428,○,13,,965,948,1913,,,,,,,C,647,,847,0,847,,,,,,,○,254,,830,0,830,○,216,,815,0,815,○,48,,841,0,841,,,,,,,○,90,,1052,0,1052,○,386,,1132,0,1132,,,,,,,20210721
