,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
1558,（株）ベル建築研究所,8011301006413,東京都,中小企業,,, 421, ,,,,,,,20200101
1559,（有）辺見設計,9380002018416,福島県,中小企業,,, 641, ,,,,,,,20200101
1560,（株）ほくつう,6220001006381,石川県,大企業,,, 785, ,1080, ,,,,,20200101
1561,（株）細貝建築事務所,8110001023436,新潟県,中小企業,,, 173, ,,,,,,,20200101
1562,（株）細川計画設計,8220001006116,石川県,中小企業,,,1058, ,,,,,,,20200101
1563,（株）細田設計,1030001007643,埼玉県,中小企業,,, 697, ,,,,,,,20200101
1564,（株）堀江建築工学研究所,9011001021851,東京都,中小企業,,, 366, ,,,,,,,20200101
1565,（株）ポリテック・エイディディ,6010401027701,東京都,中小企業,,, 560, , 637, ,,,,,20200101
1566,（株）本田建築設計事務所,7180001011039,愛知県,中小企業,,, 474, ,,,,,,,20200101
1567,（株）ガイア,6260001001692,岡山県,中小企業,,, 704, ,,,,,,,20200101
1568,（株）海渡設計,8290801016613,福岡県,中小企業,,, 249, ,,,,,,,20200101
1569,（株）垣見設計事務所,7180001082385,愛知県,中小企業,,, 297, ,,,,,,,20200101
1570,（有）梶原建築設計事務所,3080102006802,静岡県,中小企業,,, 632, ,,,,,,,20200101
1571,（有）和建築設計事務所,4100002024743,長野県,中小企業,,,1067, ,,,,,,,20200101
1572,（株）片淵建築事務所,2160001005039,滋賀県,中小企業,,, 395, ,,,,,,,20200101
1573,（株）価値総合研究所,3010401037091,東京都,中小企業,,, 619, , 990, ,,,,,20200101
1574,（株）桂建築設計事務所,1100001022313,長野県,中小企業,,, 653, ,,,,,,,20200101
1575,（株）桂設計,5011101004693,東京都,中小企業,,, 132, ,,,,,,,20200101
1576,（株）加藤建築事務所,2180301013813,愛知県,中小企業,,, 247, ,,,,,,,20200101
1577,（株）カトウ建築事務所,8040001012438,千葉県,中小企業,,, 212, ,,,,,,,20200101
1578,（株）加藤電気工業所,4011501000995,東京都,中小企業,,, 690, ,,,,,,,20200101
1579,（株）ガド建築設計事務所,3100001007106,長野県,中小企業,,, 503, ,,,,,,,20200101
1580,（株）金沢計画研究所,1220001002022,石川県,中小企業,,, 468, ,,,,,,,20200101
1581,（株）金丸建築設計事務所,7080001001082,静岡県,中小企業,,, 380, ,,,,,,,20200101
1582,カメケン　アーキテクト　一級建築士事務所,,青森県,中小企業,,,1010, ,,,,,,,20200101
1583,川上建設（株）,9060001016881,栃木県,大企業,,, 824, ,1500, , 545, , 579, ,20200101
1584,（株）河口設計,9200001027988,岐阜県,中小企業,,,1065, ,,,,,,,20200101
